drug_impact	dose	impact_category	assay	avg_precision	no_of_replicates	matching_score
benzodiazepine receptor antagonist	0.12 uM	MOA	Cell Painting	0.00323157943351866	3	0.008617892807301361
dna inhibitor	0.04 uM	MOA	Cell Painting	0.0111269755052055	5	0.019653161377477427
hiv protease inhibitor	0.37 uM	MOA	Cell Painting	0.00499155234856037	5	0.01691885123390328
dna polymerase inhibitor	0.04 uM	MOA	Cell Painting	0.00213161800501602	3	4.253345563181275e-4
glutamate receptor antagonist	10 uM	MOA	Cell Painting	0.00351060523594095	5	-0.0033991088147573246
leukotriene receptor antagonist	0.12 uM	MOA	Cell Painting	0.00336669718670439	4	0.0029621101835569648
gaba receptor modulator	1.11 uM	MOA	Cell Painting	0.0069594026600695	4	0.01122217646928783
estrogen receptor agonist	10 uM	MOA	Cell Painting	0.00648036171219099	6	0.02550192423347988
hmgcr inhibitor	0.12 uM	MOA	Cell Painting	0.0038498433969887	5	-0.007048726724356826
cholesterol inhibitor	1.11 uM	MOA	Cell Painting	0.00194361653038998	3	-0.011939435226858383
protein synthesis stimulant	0.37 uM	MOA	Cell Painting	0.00281053008602882	3	0.013393017825796811
gaba receptor agonist	3.33 uM	MOA	Cell Painting	0.00187617260787992	3	0.009067494071703147
androgen receptor antagonist	1.11 uM	MOA	Cell Painting	0.0073696654650865	5	0.0251904374216161
chelating agent	1.11 uM	MOA	Cell Painting	0.00328854945894031	4	0.009633083087950585
cholesterol inhibitor	10 uM	MOA	Cell Painting	0.00783420305075722	3	0.04214527888464872
calcineurin inhibitor	0.04 uM	MOA	Cell Painting	0.00349780800158664	3	0.02680199106869802
calcineurin inhibitor	3.33 uM	MOA	Cell Painting	0.148161964099104	3	0.14888710965696814
dna polymerase inhibitor	0.37 uM	MOA	Cell Painting	0.00274017101394266	3	-0.009080803445148843
carbonic anhydrase inhibitor	0.37 uM	MOA	Cell Painting	0.00493958441925349	5	8.972066881806594e-4
glutamate receptor agonist	10 uM	MOA	Cell Painting	0.00394376778679622	4	0.019497157849451763
farnesyltransferase inhibitor	3.33 uM	MOA	Cell Painting	0.0265640791956581	3	0.09395082192165755
glutamate receptor modulator	10 uM	MOA	Cell Painting	0.00395204240773831	3	0.03832803307604347
glutamate receptor agonist	0.04 uM	MOA	Cell Painting	0.00223457521554019	4	-0.03952809846765237
microtubule inhibitor	0.04 uM	MOA	Cell Painting	0.0111187132875303	3	0.018612372866224455
tyrosine kinase inhibitor	0.12 uM	MOA	Cell Painting	0.0624155719914972	4	0.01972969029961438
androgen receptor antagonist	0.12 uM	MOA	Cell Painting	0.00522332569958941	5	0.019625191308108435
glutamate receptor antagonist	1.11 uM	MOA	Cell Painting	0.00697371197582621	5	0.021435302907926508
endothelin receptor antagonist	0.12 uM	MOA	Cell Painting	0.00241920299085805	4	-0.030542727866339513
parp inhibitor	1.11 uM	MOA	Cell Painting	0.00615208169035344	5	0.022095759302299352
serotonin reuptake inhibitor	0.37 uM	MOA	Cell Painting	0.00297908661356766	4	-0.014117377931306106
hiv protease inhibitor	0.12 uM	MOA	Cell Painting	0.00737526929564565	5	0.02086456316240371
glutamate receptor antagonist	0.37 uM	MOA	Cell Painting	0.00777909337434507	5	0.0032588628561193485
selective serotonin reuptake inhibitor (ssri)	0.04 uM	MOA	Cell Painting	0.00367674118870317	4	-0.0045885902484357945
gaba receptor modulator	0.04 uM	MOA	Cell Painting	0.00974157625792117	4	0.04518767218772253
gaba receptor modulator	3.33 uM	MOA	Cell Painting	0.00693954150598814	4	0.02631463279670475
parp inhibitor	0.04 uM	MOA	Cell Painting	0.0111977617774247	5	0.032174059013445236
t-type calcium channel blocker	0.37 uM	MOA	Cell Painting	0.00250122431662848	3	-0.01608635103398962
leukotriene receptor antagonist	10 uM	MOA	Cell Painting	0.00619671176847923	4	0.010656437659679791
xanthine oxidase inhibitor	0.37 uM	MOA	Cell Painting	0.00183234776497553	3	-0.007911071221940135
alk tyrosine kinase receptor inhibitor	0.04 uM	MOA	Cell Painting	0.00268327281897035	3	0.006649767814332792
dna methyltransferase inhibitor	0.12 uM	MOA	Cell Painting	0.0902206157802549	3	0.13647024447577608
opioid receptor agonist	10 uM	MOA	Cell Painting	0.00419209133182139	3	0.04285626165029559
nucleoside reverse transcriptase inhibitor	10 uM	MOA	Cell Painting	0.00332945983852877	4	8.433189943690916e-4
calcineurin inhibitor	0.12 uM	MOA	Cell Painting	0.00393895187104695	3	0.009993185335041385
free radical scavenger	0.37 uM	MOA	Cell Painting	0.0079829748853868	4	0.027541158841605056
insulin secretagogue	3.33 uM	MOA	Cell Painting	0.00382124980749622	4	0.009312162647102076
nitric oxide synthase inhibitor	0.12 uM	MOA	Cell Painting	0.00374180978511192	4	-0.026674686968229326
tyrosine kinase inhibitor	1.11 uM	MOA	Cell Painting	0.00303548751493852	4	-0.019902358772729556
potassium channel blocker	0.37 uM	MOA	Cell Painting	0.0046644656059464	4	0.02964356491511204
xiap inhibitor	0.04 uM	MOA	Cell Painting	0.0427802371973548	3	0.07731236370118862
endothelin receptor antagonist	0.37 uM	MOA	Cell Painting	0.00364506241246627	4	-0.0017471747123261475
androgen receptor antagonist	0.04 uM	MOA	Cell Painting	0.00630388635615232	5	0.029894772440498492
sigma receptor antagonist	10 uM	MOA	Cell Painting	0.00350690530934357	3	0.03723491151556504
mucolytic agent	0.12 uM	MOA	Cell Painting	0.0037139910192377	3	0.023319186988385622
insulin secretagogue	0.04 uM	MOA	Cell Painting	0.00236688953794526	4	-0.03611663019841692
nfkb pathway inhibitor	10 uM	MOA	Cell Painting	0.0070478129244985	4	0.069735180219037
benzodiazepine receptor antagonist	1.11 uM	MOA	Cell Painting	0.00301962489824333	3	0.014677378017245985
atp channel blocker	0.37 uM	MOA	Cell Painting	0.00584213202293916	3	0.025387284957360534
tyrosine kinase inhibitor	10 uM	MOA	Cell Painting	0.00281529079489069	4	0.007402773606152045
non-nucleoside reverse transcriptase inhibitor	0.04 uM	MOA	Cell Painting	0.0049980901634596	4	0.011741697211373218
protein synthesis stimulant	0.12 uM	MOA	Cell Painting	0.00684996900086925	3	0.016091925818279108
benzodiazepine receptor antagonist	0.37 uM	MOA	Cell Painting	0.00264754308871956	3	-0.02433059780569421
alk tyrosine kinase receptor inhibitor	0.12 uM	MOA	Cell Painting	0.00932326281038273	3	0.022172913022602565
matrix metalloprotease inhibitor	3.33 uM	MOA	Cell Painting	0.022683002394029	3	0.08360263141126342
dna inhibitor	1.11 uM	MOA	Cell Painting	0.0485727848393617	5	-7.255926643075794e-4
endothelin receptor antagonist	1.11 uM	MOA	Cell Painting	0.00299781985637189	4	-0.0014256238651733247
potassium channel blocker	3.33 uM	MOA	Cell Painting	0.00345002232366238	4	0.010520926873968038
potassium channel blocker	0.12 uM	MOA	Cell Painting	0.0029100005917926	4	-0.006436368341822162
hiv protease inhibitor	0.04 uM	MOA	Cell Painting	0.0042581120066577	5	-0.012832000030757431
dna inhibitor	0.37 uM	MOA	Cell Painting	0.0417762645250707	5	4.87533544115965e-4
adenosine receptor agonist	0.37 uM	MOA	Cell Painting	0.00281205431470422	3	0.004757343392400255
androgen receptor modulator	1.11 uM	MOA	Cell Painting	0.0133240490160769	3	0.08175828267288145
serotonin reuptake inhibitor	3.33 uM	MOA	Cell Painting	0.00595624436812676	4	0.019422729390641588
selective serotonin reuptake inhibitor (ssri)	0.37 uM	MOA	Cell Painting	0.00336281654759362	4	-0.014045391974334734
cholesterol inhibitor	0.12 uM	MOA	Cell Painting	0.0103577828979749	3	0.013346451980555198
vasopressin receptor antagonist	0.04 uM	MOA	Cell Painting	0.00267636548026421	4	-0.014859813681210428
adenosine receptor antagonist	10 uM	MOA	Cell Painting	0.00521258629170022	4	0.04162152620298877
gaba receptor modulator	10 uM	MOA	Cell Painting	0.00876912266179705	4	0.0446328934483664
jak inhibitor	0.12 uM	MOA	Cell Painting	0.0063850982799296	5	-0.0027960426662788124
glucosidase inhibitor	0.04 uM	MOA	Cell Painting	0.0028193193339804	3	0.025710809098836145
pkc inhibitor	3.33 uM	MOA	Cell Painting	0.0143339156404637	4	-0.014270667559646968
dna inhibitor	0.12 uM	MOA	Cell Painting	0.0224672302423004	5	-0.004901128726747902
cck receptor antagonist	0.04 uM	MOA	Cell Painting	0.00544460712744218	4	0.015832766196091173
matrix metalloprotease inhibitor	1.11 uM	MOA	Cell Painting	0.00446435098680055	3	0.0089867332007183
vasopressin receptor antagonist	0.12 uM	MOA	Cell Painting	0.00367842981359797	4	0.0032419292982788337
serotonin reuptake inhibitor	0.12 uM	MOA	Cell Painting	0.00422607881649866	4	-0.007370365238253591
dipeptidyl peptidase inhibitor	10 uM	MOA	Cell Painting	0.00389516340839202	3	0.021159732785548016
cck receptor antagonist	0.37 uM	MOA	Cell Painting	0.00367752476713934	4	-0.0013694321930797066
pkc inhibitor	1.11 uM	MOA	Cell Painting	0.0116068577344522	4	0.05700080974872822
dna methyltransferase inhibitor	0.04 uM	MOA	Cell Painting	0.0320205262733998	3	0.0786813181345641
nitric oxide synthase inhibitor	1.11 uM	MOA	Cell Painting	0.00335856366902039	4	-0.002163270731596582
non-nucleoside reverse transcriptase inhibitor	3.33 uM	MOA	Cell Painting	0.00253856578140402	4	-0.006747004244242167
calcitonin antagonist	10 uM	MOA	Cell Painting	0.00810639262667291	3	0.0934762076291658
protein synthesis stimulant	10 uM	MOA	Cell Painting	0.00421509465017086	3	0.029064607252388994
atpase inhibitor	0.12 uM	MOA	Cell Painting	0.00424332078178232	3	-0.019006712526523337
protein synthesis stimulant	0.04 uM	MOA	Cell Painting	0.00297344116835434	3	0.014608060760987628
xanthine oxidase inhibitor	10 uM	MOA	Cell Painting	0.0020582322752162	3	-0.005502413895745845
gaba receptor agonist	0.37 uM	MOA	Cell Painting	0.00242718446601942	3	0.02241356158437631
tyrosine kinase inhibitor	3.33 uM	MOA	Cell Painting	0.00338954819897187	4	-0.0015461630212602654
coagulation factor inhibitor	10 uM	MOA	Cell Painting	0.00593123288657482	4	0.03098009689571763
xanthine oxidase inhibitor	3.33 uM	MOA	Cell Painting	0.00264971651616426	3	-0.008808068739261597
glucosidase inhibitor	10 uM	MOA	Cell Painting	0.00372949885540437	3	0.005791810771330804
fungal squalene epoxidase inhibitor	3.33 uM	MOA	Cell Painting	0.0147065668887301	3	0.02492551083180449
selective serotonin reuptake inhibitor (ssri)	0.12 uM	MOA	Cell Painting	0.00561811720929063	4	0.009244456736093844
potassium channel blocker	1.11 uM	MOA	Cell Painting	0.00239208205936803	4	-0.020060383606818145
lipoxygenase inhibitor	0.12 uM	MOA	Cell Painting	0.00838283555524935	3	0.010601628375837563
cck receptor antagonist	3.33 uM	MOA	Cell Painting	0.00287196312324368	4	-0.024375456015390057
mdm inhibitor	0.12 uM	MOA	Cell Painting	0.113626254385999	3	0.005024147127264466
atpase inhibitor	0.37 uM	MOA	Cell Painting	0.0119560400476283	3	0.013349799112704668
coagulation factor inhibitor	1.11 uM	MOA	Cell Painting	0.00848104868163658	4	0.006844995516835921
lipoxygenase inhibitor	10 uM	MOA	Cell Painting	0.00186151399886811	3	-0.031665634252610084
adenosine receptor agonist	0.04 uM	MOA	Cell Painting	0.00284565828997854	3	0.009583710050606715
mineralocorticoid receptor antagonist	1.11 uM	MOA	Cell Painting	0.0150824628754335	3	0.03840157930359636
hiv integrase inhibitor	0.12 uM	MOA	Cell Painting	0.0057060249114149	3	0.03145376974433395
glutamate receptor agonist	0.12 uM	MOA	Cell Painting	0.00327293472775709	4	-0.00924319022719056
dna polymerase inhibitor	1.11 uM	MOA	Cell Painting	0.00421961210712161	3	-0.015392838822074088
lipoxygenase inhibitor	0.37 uM	MOA	Cell Painting	0.00578893132084621	3	0.01273664637807974
cck receptor antagonist	1.11 uM	MOA	Cell Painting	0.00408020559229948	4	0.0083402504570786
purinergic receptor antagonist	0.04 uM	MOA	Cell Painting	0.00164609053497942	3	-0.003932049157645144
insulin secretagogue	10 uM	MOA	Cell Painting	0.00450421891795636	4	0.044075957832730675
mineralocorticoid receptor antagonist	3.33 uM	MOA	Cell Painting	0.00875430373904206	3	0.041880810094181625
non-nucleoside reverse transcriptase inhibitor	0.12 uM	MOA	Cell Painting	0.00514165728761871	4	0.0021657386916383607
gaba receptor modulator	0.12 uM	MOA	Cell Painting	0.00722367630933975	4	0.032117700545090645
dna polymerase inhibitor	0.12 uM	MOA	Cell Painting	0.00256922574983627	3	0.02320528844393378
vasopressin receptor antagonist	1.11 uM	MOA	Cell Painting	0.0023539646249479502	4	-0.03859208890218218
androgen receptor modulator	0.37 uM	MOA	Cell Painting	0.0104260336490396	3	0.048813761238586356
mineralocorticoid receptor antagonist	0.04 uM	MOA	Cell Painting	0.00610707382952302	3	0.0459448675486799
xanthine oxidase inhibitor	1.11 uM	MOA	Cell Painting	0.00244008255767084	3	-0.045013341318203545
prostanoid receptor agonist	0.04 uM	MOA	Cell Painting	0.00342011697523118	3	-0.011154419659018828
cck receptor antagonist	0.12 uM	MOA	Cell Painting	0.00327995443442059	4	-0.014075143003676814
mucolytic agent	0.37 uM	MOA	Cell Painting	0.0040585221607246	3	-0.0024267047388626434
glucosidase inhibitor	0.12 uM	MOA	Cell Painting	0.00384564901572983	3	0.022107581689671887
atp channel blocker	0.12 uM	MOA	Cell Painting	0.00642938811255643	3	0.007274754261416562
cck receptor antagonist	10 uM	MOA	Cell Painting	0.00268363442727945	4	0.003661881304248489
atp channel blocker	10 uM	MOA	Cell Painting	0.00345656021516631	3	0.006994234075790476
mineralocorticoid receptor antagonist	0.37 uM	MOA	Cell Painting	0.00322195928445159	3	0.026462274266961235
sigma receptor antagonist	0.37 uM	MOA	Cell Painting	0.00370382474871186	3	0.029907055454912294
gaba receptor modulator	0.37 uM	MOA	Cell Painting	0.00970864864994766	4	0.032922001700365744
pkc inhibitor	0.04 uM	MOA	Cell Painting	0.00651242725283487	4	0.01902741725275874
non-nucleoside reverse transcriptase inhibitor	0.37 uM	MOA	Cell Painting	0.0026737463939278	4	-0.025254191222903566
cannabinoid receptor agonist	0.12 uM	MOA	Cell Painting	0.00272434380986842	3	0.0026348997515119052
calcitonin antagonist	0.37 uM	MOA	Cell Painting	0.00227017778365562	3	-0.005134432884528613
lipoxygenase inhibitor	0.04 uM	MOA	Cell Painting	0.002763370916633	3	0.00812330882366598
glutamate receptor agonist	3.33 uM	MOA	Cell Painting	0.00259000203188112	4	-0.018242051237622306
glutamate receptor modulator	0.12 uM	MOA	Cell Painting	0.00180802783076368	3	-0.031378555565353836
mucolytic agent	10 uM	MOA	Cell Painting	0.00310303348831482	3	-0.04789285875221062
chelating agent	10 uM	MOA	Cell Painting	0.00303198134721312	4	0.009894917041201337
hiv integrase inhibitor	1.11 uM	MOA	Cell Painting	0.00315870637253005	3	0.01628247488534235
pkc inhibitor	0.37 uM	MOA	Cell Painting	0.0118143917412192	4	0.022774387609364857
hiv integrase inhibitor	3.33 uM	MOA	Cell Painting	0.00529797570779662	3	0.02501632999059241
reverse transcriptase inhibitor	0.12 uM	MOA	Cell Painting	0.00177955460241707	3	-0.04806221685424647
fungal squalene epoxidase inhibitor	1.11 uM	MOA	Cell Painting	0.00341343325699293	3	0.034699413680825957
fungal squalene epoxidase inhibitor	0.37 uM	MOA	Cell Painting	0.001934003664154	3	-0.027465582633088223
t-type calcium channel blocker	1.11 uM	MOA	Cell Painting	0.00320118267389528	3	0.012534195732485664
glutamate receptor modulator	1.11 uM	MOA	Cell Painting	0.0020975851500592	3	-0.023641325908847658
gaba receptor agonist	0.04 uM	MOA	Cell Painting	0.00533333333333333	3	0.018943625870233155
androgen receptor modulator	0.12 uM	MOA	Cell Painting	0.00748229144006881	3	0.027854223122429897
farnesyltransferase inhibitor	0.04 uM	MOA	Cell Painting	0.00564974814101373	3	0.019493822025181178
adenosine receptor agonist	3.33 uM	MOA	Cell Painting	0.00473785365021646	3	0.0034734524644758746
androgen receptor modulator	0.04 uM	MOA	Cell Painting	0.00756843889847179	3	0.020145941860348158
dipeptidyl peptidase inhibitor	1.11 uM	MOA	Cell Painting	0.00752364766638148	3	0.01692700136593523
matrix metalloprotease inhibitor	0.04 uM	MOA	Cell Painting	0.00287181679392552	3	-0.016643512842329778
xanthine oxidase inhibitor	0.12 uM	MOA	Cell Painting	0.00280450282632065	3	0.00411616968444742
cholesterol inhibitor	0.04 uM	MOA	Cell Painting	0.00382160153113394	3	0.015164442284388291
benzodiazepine receptor antagonist	10 uM	MOA	Cell Painting	0.00246144658191131	3	-0.0016056396508218585
atp channel blocker	1.11 uM	MOA	Cell Painting	0.00522433071882501	3	0.0036123245250422307
benzodiazepine receptor antagonist	0.04 uM	MOA	Cell Painting	0.00613675676708355	3	0.04068250297604291
glucosidase inhibitor	3.33 uM	MOA	Cell Painting	0.00303978501028633	3	-0.014969403989408362
farnesyltransferase inhibitor	1.11 uM	MOA	Cell Painting	0.00332637435918232	3	0.03364358572160918
acat inhibitor	0.04 uM	MOA	Cell Painting	0.00250549137003268	3	0.004444607026614167
bcl inhibitor	0.37 uM	MOA	Cell Painting	0.00332415132814746	3	0.026211357938863162
glutamate receptor modulator	0.04 uM	MOA	Cell Painting	0.00211509261889171	3	-0.007278163607475038
purinergic receptor antagonist	0.12 uM	MOA	Cell Painting	0.00140252454417952	3	-0.002210057080476421
farnesyltransferase inhibitor	0.12 uM	MOA	Cell Painting	0.00349491186180224	3	0.017165625928597716
t-type calcium channel blocker	0.04 uM	MOA	Cell Painting	0.0022933726659033	3	-0.008397728429182764
acat inhibitor	0.37 uM	MOA	Cell Painting	0.00254207747065614	3	-0.017092616560060697
atp channel blocker	0.04 uM	MOA	Cell Painting	0.00917138569165768	3	0.05068545266452767
hiv integrase inhibitor	0.37 uM	MOA	Cell Painting	0.00518646531883216	3	0.0754282055573029
purinergic receptor antagonist	1.11 uM	MOA	Cell Painting	0.00248756218905473	3	0.00788956365860757
glutamate receptor modulator	3.33 uM	MOA	Cell Painting	0.00249587683811672	3	-0.04610520748742154
mineralocorticoid receptor antagonist	0.12 uM	MOA	Cell Painting	0.00604248505443911	3	0.021848676494758825
xanthine oxidase inhibitor	0.04 uM	MOA	Cell Painting	0.001816508510649	3	-0.0021678447686048954
reverse transcriptase inhibitor	1.11 uM	MOA	Cell Painting	0.00284704921173905	3	-0.007472958762483828
farnesyltransferase inhibitor	0.37 uM	MOA	Cell Painting	0.00283779070682532	3	-0.004862467074990404
reverse transcriptase inhibitor	0.37 uM	MOA	Cell Painting	0.00179707044791981	3	-0.02992370639116143
bcl inhibitor	0.12 uM	MOA	Cell Painting	0.0025103301089881	3	0.013295509986185729
cannabinoid receptor agonist	1.11 uM	MOA	Cell Painting	0.0112778367770142	3	0.029442810487356575
protein synthesis stimulant	1.11 uM	MOA	Cell Painting	0.00429940474471265	3	0.03463372621239261
matrix metalloprotease inhibitor	0.12 uM	MOA	Cell Painting	0.0027271666588662	3	-0.010173642091950808
protein synthesis stimulant	3.33 uM	MOA	Cell Painting	0.00398886433098279	3	0.01425113883061719
lipoxygenase inhibitor	3.33 uM	MOA	Cell Painting	0.00644599089061744	3	0.052240127705078215
adenosine receptor agonist	1.11 uM	MOA	Cell Painting	0.00259040126776748	3	-0.01488758017780848
acat inhibitor	0.12 uM	MOA	Cell Painting	0.00557695167097404	3	0.02324071030893521
bcl inhibitor	1.11 uM	MOA	Cell Painting	0.0130099087903095	3	0.11745734653950354
mdm inhibitor	0.04 uM	MOA	Cell Painting	0.0311533058406611	3	0.07607910968342606
reverse transcriptase inhibitor	3.33 uM	MOA	Cell Painting	0.00179942403055434	3	-0.059695954883372516
bcl inhibitor	0.04 uM	MOA	Cell Painting	0.00179146146462171	3	-0.025009036479412442
mucolytic agent	0.04 uM	MOA	Cell Painting	0.00680255375613706	3	0.04277973004695011
purinergic receptor antagonist	3.33 uM	MOA	Cell Painting	0.00141743444365698	3	0.009184553233903532
sigma receptor antagonist	3.33 uM	MOA	Cell Painting	0.00713263882944464	3	0.06613251280951576
t-type calcium channel blocker	0.12 uM	MOA	Cell Painting	0.00425131182267987	3	0.04097331889015657
glucocorticoid receptor agonist	All	MOA	Cell Painting	0.474828877465503	84	0.3465772836509424
mek inhibitor	All	MOA	Cell Painting	0.331239276345299	48	0.29530174677688653
mtor inhibitor	All	MOA	Cell Painting	0.238507453996186	36	0.307607629946045
hsp inhibitor	All	MOA	Cell Painting	0.099890352785675	30	0.2806764576689837
proteasome inhibitor	All	MOA	Cell Painting	0.258894149005094	24	0.3243634003056352
plk inhibitor	All	MOA	Cell Painting	0.794102480057271	24	0.5824570847390291
mtor inhibitor|pi3k inhibitor	All	MOA	Cell Painting	0.166189033827188	24	0.13934289539765862
hdac inhibitor	All	MOA	Cell Painting	0.0846951690030782	78	0.036316276448232473
topoisomerase inhibitor	All	MOA	Cell Painting	0.049326643290387	90	0.012532680476715297
mdm inhibitor	All	MOA	Cell Painting	0.0856214699646512	18	0.10364019025856819
purine antagonist	All	MOA	Cell Painting	0.00828588315090995	12	0.04279495333883104
tubulin inhibitor	All	MOA	Cell Painting	0.0912209210457228	48	0.06722416686408822
protein synthesis inhibitor	All	MOA	Cell Painting	0.0396954879264389	30	0.007629555923199827
cdk inhibitor	All	MOA	Cell Painting	0.0714832475194683	42	0.10973081738417556
inosine monophosphate dehydrogenase inhibitor	All	MOA	Cell Painting	0.0244163293769927	12	0.0281266356287216
dopamine receptor antagonist|serotonin receptor antagonist	All	MOA	Cell Painting	0.049658857797672	54	0.011410232165107621
xiap inhibitor	All	MOA	Cell Painting	0.231441865987577	18	0.20933591484669656
cyclooxygenase inhibitor|prostanoid receptor antagonist	All	MOA	Cell Painting	0.0396330996605909	24	0.0036035241776737293
serotonin receptor agonist|serotonin receptor antagonist	All	MOA	Cell Painting	0.0388021351472655	18	0.027852866176963892
adrenergic receptor antagonist	All	MOA	Cell Painting	0.0337392176305139	180	0.006295542835573886
cyclooxygenase inhibitor	All	MOA	Cell Painting	0.029683247465111	150	0.002667076317195393
dopamine receptor antagonist	All	MOA	Cell Painting	0.0313569798843203	108	0.006990708844538628
phosphodiesterase inhibitor	All	MOA	Cell Painting	0.0300993103390772	168	0.00804270624002115
histamine receptor antagonist	All	MOA	Cell Painting	0.0229137521848572	138	0.003508676507197493
serotonin receptor antagonist	All	MOA	Cell Painting	0.0282077241376861	72	0.00891090823148804
diacylglycerol o acyltransferase inhibitor	All	MOA	Cell Painting	0.0383617891658552	12	0.14206035679461726
egfr inhibitor	All	MOA	Cell Painting	0.0594110564925425	72	0.09100204938342943
adrenergic receptor agonist	All	MOA	Cell Painting	0.0203661627858053	120	0.004513737763296247
acetylcholine receptor antagonist	All	MOA	Cell Painting	0.0209541933944033	120	0.007053382793335537
progestogen hormone	All	MOA	Cell Painting	0.00422624677023649	12	0.07296569421358311
pi3k inhibitor	All	MOA	Cell Painting	0.0179397855735604	36	0.016320579656347284
calcium channel blocker	All	MOA	Cell Painting	0.0150720446902962	90	0.006407247717123006
microtubule inhibitor	All	MOA	Cell Painting	0.0213307874863107	18	0.04350162491392584
akt inhibitor	All	MOA	Cell Painting	0.0214872231315207	30	0.035792374039278145
serotonin receptor agonist	All	MOA	Cell Painting	0.0124358596473793	60	0.003391820886817009
sodium channel blocker	All	MOA	Cell Painting	0.0112141478320238	72	0.004616017508667348
bacterial cell wall synthesis inhibitor	All	MOA	Cell Painting	0.0136471358487226	84	0.004923956500366866
bacterial dna gyrase inhibitor	All	MOA	Cell Painting	0.0111659508038043	66	0.007820924844662923
norepinephrine reputake inhibitor|tricyclic antidepressant	All	MOA	Cell Painting	0.0214278953887947	12	0.1724613854311437
cannabinoid receptor agonist	All	MOA	Cell Painting	0.00232481323044345	18	0.014697638931606364
dopamine receptor agonist	All	MOA	Cell Painting	0.00840022762661181	54	-0.00177781341016057
gamma secretase inhibitor	All	MOA	Cell Painting	0.0130890580705386	42	0.03686928826574688
prostanoid receptor antagonist	All	MOA	Cell Painting	0.00727520298709919	18	-0.003470670726270572
sodium/glucose cotransporter inhibitor	All	MOA	Cell Painting	7.74168005450092e-4	12	-0.0016523496695807459
progesterone receptor agonist	All	MOA	Cell Painting	0.0104447257491927	42	0.03578733632793957
vegfr inhibitor	All	MOA	Cell Painting	0.0097144070588829	24	0.0214688618048856
opioid receptor agonist|opioid receptor antagonist	All	MOA	Cell Painting	0.00730897261726164	6	0.014757381277957182
tachykinin antagonist	All	MOA	Cell Painting	0.00625497439794101	36	0.011121592918060884
acetylcholine receptor agonist	All	MOA	Cell Painting	0.00766765023550562	48	8.406107543695199e-4
p38 mapk inhibitor	All	MOA	Cell Painting	0.0279787473654222	36	0.0688011749632519
fgfr inhibitor|vegfr inhibitor	All	MOA	Cell Painting	0.00859331906528042	18	0.015850468702536466
angiotensin converting enzyme inhibitor	All	MOA	Cell Painting	0.0079318251696574	48	0.0073818342205023944
rna polymerase inhibitor	All	MOA	Cell Painting	0.00804877468197185	42	0.010129335010070389
sterol demethylase inhibitor	All	MOA	Cell Painting	0.00728488262407057	42	0.00765667788138384
ppar receptor agonist|insulin sensitizer	All	MOA	Cell Painting	0.00933490559912534	18	0.03838212697866285
benzodiazepine receptor agonist	All	MOA	Cell Painting	0.00661521259259482	18	0.005594426075109306
bacterial antifolate	All	MOA	Cell Painting	5.64570482754207e-4	12	-0.025588904476275785
pdgfr tyrosine kinase receptor inhibitor|vegfr inhibitor	All	MOA	Cell Painting	0.0101848779047143	12	9.758529858143225e-4
rho associated kinase inhibitor	All	MOA	Cell Painting	0.00815903841142754	24	0.023247749529260776
cathepsin inhibitor	All	MOA	Cell Painting	0.00161224835519543	12	0.03134462044341246
vitamin d receptor agonist	All	MOA	Cell Painting	0.022673578517291	30	0.07921069659709838
aurora kinase inhibitor	All	MOA	Cell Painting	0.30149828381512	12	0.5290879353243605
cc chemokine receptor antagonist	All	MOA	Cell Painting	0.00624926388137115	42	0.007936338677304968
bacterial 50s ribosomal subunit inhibitor	All	MOA	Cell Painting	0.00351005657797241	24	0.0028195574100162357
retinoid receptor agonist	All	MOA	Cell Painting	0.0358610898974422	36	0.11212164473324515
nucleoside reverse transcriptase inhibitor	All	MOA	Cell Painting	0.003211137353864	24	0.003806483653422707
angiotensin receptor antagonist	All	MOA	Cell Painting	0.00319258853741644	24	0.00810845874099983
adenosine receptor antagonist	All	MOA	Cell Painting	0.00318563320306151	24	0.007354406960270841
dna synthesis inhibitor	All	MOA	Cell Painting	0.0065345772587283	42	0.005656226468349413
hcv inhibitor	All	MOA	Cell Painting	0.00782012566093574	42	0.002499357853827912
opioid receptor antagonist	All	MOA	Cell Painting	0.00403752840201549	24	-0.011961773941592431
raf inhibitor	All	MOA	Cell Painting	0.0101840003642766	30	0.032402893776902184
potassium channel activator	All	MOA	Cell Painting	0.00572601982148123	24	0.015155486487580444
hmgcr inhibitor	All	MOA	Cell Painting	0.00499057293895647	30	0.00804216911577419
monoamine oxidase inhibitor	All	MOA	Cell Painting	0.00486915811435393	36	0.0025326765189576874
bacterial 30s ribosomal subunit inhibitor	All	MOA	Cell Painting	0.00419915524180154	30	0.0010781949436480336
ppar receptor agonist	All	MOA	Cell Painting	0.00552852154044939	18	0.001728960548245704
cannabinoid receptor antagonist	All	MOA	Cell Painting	7.46672221886378e-4	12	-0.0019004982547389808
jnk inhibitor	All	MOA	Cell Painting	0.0351445116173438	12	0.034641067901734435
vesicular monoamine transporter inhibitor	All	MOA	Cell Painting	0.00457133372581222	12	0.06338871235091198
aldose reductase inhibitor	All	MOA	Cell Painting	0.00179374356905765	12	0.012065224071556711
insulin sensitizer	All	MOA	Cell Painting	0.00471109765488777	12	0.028222181540122335
estrogen receptor agonist	All	MOA	Cell Painting	0.00533105150290734	36	0.00570479947049362
opioid receptor agonist	All	MOA	Cell Painting	0.00307412657455332	18	0.012273079847250911
