assay	compound	moa	dose	well	no_of_replicates_per_compound	median_replicate_correlation_compound	p_value_compound	no_of_compounds_per_moa	median_replicate_correlation_moa	p_value_moa
L1000	bifemelane	acetylcholine release stimulant	0.04 uM	A18	3	0.0163176629864503	0.578	NA	NA	NA
L1000	bifonazole	sterol demethylase inhibitor	0.04 uM	F06	3	0.0682441829541119	0.136	7	0.05313029804854559	0.164
L1000	bimatoprost	prostanoid receptor agonist	0.04 uM	J24	3	0.0269008789731878	0.479	3	-0.010228395424619506	0.65
L1000	bindarit	nfkb pathway inhibitor	0.04 uM	O18	3	0.092535809519728	0.077	4	0.04729726379384144	0.285
L1000	biperiden	acetylcholine receptor antagonist	0.04 uM	C12	3	-0.0118330132904885	0.835	21	0.024049673768068394	0.598
L1000	birinapant	xiap inhibitor	0.04 uM	H24	3	0.0233998448714421	0.607	3	0.051281267906777145	0.27
L1000	bisindolylmaleimide	NA	0.04 uM	B18	3	0.1321977248612674	0.028	NA	NA	NA
L1000	bisoprolol	adrenergic receptor antagonist	0.04 uM	F18	3	0.1358848259311699	0.032	31	0.02824026971230739	0.436
L1000	bitopertin	NA	0.04 uM	I12	3	0.0343049822442583	0.513	NA	NA	NA
L1000	blonanserin	dopamine receptor antagonist|serotonin receptor antagonist	0.04 uM	C12	3	0.0139032415562156	0.517	9	0.007341301553054408	0.825
L1000	bms-599626	NA	0.04 uM	K24	3	-0.0156838988909255	0.907	NA	NA	NA
L1000	bms-707035	hiv integrase inhibitor	0.04 uM	O24	3	0.0141566049335203	0.602	3	0.16876177849231633	0.017
L1000	bms-927711	calcitonin antagonist	0.04 uM	A18	3	0.0805900488425157	0.119	3	0.11285356659501697	0.064
L1000	bopindolol	adrenergic receptor antagonist	0.04 uM	M24	3	-0.0288384838302578	0.952	31	0.02824026971230739	0.436
L1000	bortezomib	NA	0.04 uM	D18	3	0.5325260798933147	0	NA	NA	NA
L1000	bosentan	endothelin receptor antagonist	0.04 uM	E06	2	0.2085482933322257	0.019	4	0.058533275657778966	0.215
L1000	bosutinib	NA	0.04 uM	N24	3	0.0060181026769086	0.71	NA	NA	NA
L1000	brequinar	dihydroorotate dehydrogenase inhibitor	0.04 uM	K24	2	0.063385325441024	0.277	NA	NA	NA
L1000	bretazenil	NA	0.04 uM	N18	3	0.0775115651147142	0.127	NA	NA	NA
L1000	brexpiprazole	NA	0.04 uM	F06	4	0.0349147113495766	0.288	NA	NA	NA
L1000	brivanib	fgfr inhibitor|vegfr inhibitor	0.04 uM	C06	3	-0.0157430419717907	0.916	3	0.061428586238253036	0.214
L1000	brivudine	dna directed dna polymerase inhibitor	0.04 uM	H18	3	8.387047157354e-4	0.757	NA	NA	NA
L1000	bromocriptine	dopamine receptor agonist	0.04 uM	H12	3	0.0956026928793167	0.12	9	0.02980641594087593	0.427
L1000	broxuridine	NA	0.04 uM	M24	3	0.037615088235887	0.325	NA	NA	NA
L1000	bruceantin	protein synthesis inhibitor	0.04 uM	O12	3	0.7238049152738943	0	6	0.03385420571185717	0.388
L1000	bts-54505	dopamine reuptake inhibitor	0.04 uM	C12	3	0.0936444498751195	0.049	NA	NA	NA
L1000	bucladesine	NA	0.04 uM	P24	3	0.1145608538346365	0.034	NA	NA	NA
L1000	budipine	glutamate receptor antagonist	0.04 uM	P12	3	0.0153260002485569	0.642	5	0.05008712791722887	0.239
L1000	bumetanide	NA	0.04 uM	M12	3	0.0080475639476855	0.697	NA	NA	NA
L1000	bupivacaine	sodium channel blocker	0.04 uM	G12	4	0.0863192333220074	0.036	11	0.05456462501098568	0.073
L1000	bupropion	dopamine uptake inhibitor	0.04 uM	F06	3	0.0846135830465473	0.086	NA	NA	NA
L1000	buspirone	serotonin receptor agonist	0.04 uM	L06	3	0.0655030207907987	0.166	12	0.006808932132952777	0.906
L1000	butoconazole	bacterial cell wall synthesis inhibitor	0.04 uM	E24	3	0.0112323195708242	0.636	14	0.018874742089081693	0.725
L1000	butorphanol-(+)-tartrate	NA	0.04 uM	L18	3	0.0123579883365474	0.612	NA	NA	NA
L1000	bvd-523	NA	0.04 uM	D18	3	-0.0078662832610963	0.824	NA	NA	NA
L1000	cabazitaxel	microtubule inhibitor	0.04 uM	J24	3	0.2943775827315844	0	3	0.08993461917516103	0.116
L1000	cabergoline	dopamine receptor agonist	0.04 uM	P24	3	0.0721988153249618	0.181	9	0.02980641594087593	0.427
L1000	cabozantinib	NA	0.04 uM	C06	3	0.0030125356334148	0.735	NA	NA	NA
L1000	caffeine	NA	0.04 uM	L12	4	0.0522021355909262	0.192	NA	NA	NA
L1000	calcitriol	vitamin d receptor agonist	0.04 uM	I18	3	0.024720946178933	0.522	5	0.03285022338570093	0.403
L1000	camicinal	NA	0.04 uM	M12	3	0.0411466375365831	0.338	NA	NA	NA
L1000	camptothecin	topoisomerase inhibitor	0.04 uM	D12	3	0.3691410240175984	0	15	0.012178375448432914	0.889
L1000	canagliflozin	sodium/glucose cotransporter inhibitor	0.04 uM	M12	3	0.034721869593168	0.4	NA	NA	NA
L1000	candesartan	angiotensin receptor antagonist	0.04 uM	I24	3	0.0550010283939933	0.226	4	0.08968765630080197	0.087
L1000	canertinib	egfr inhibitor	0.04 uM	B12	3	0.0031020830788412	0.781	13	0.03209830980265936	0.311
L1000	canrenoic-acid	mineralocorticoid receptor antagonist	0.04 uM	L18	3	0.0668530843275253	0.106	3	-0.08148227081925062	0.918
L1000	capecitabine	NA	0.04 uM	K18	3	0.0478135519986548	0.326	NA	NA	NA
L1000	capsaicin	NA	0.04 uM	P18	3	0.1094612004872046	0.073	NA	NA	NA
L1000	carbachol	NA	0.04 uM	E18	2	0.0300635284149109	0.396	NA	NA	NA
L1000	carbamazepine	NA	0.04 uM	N06	3	-0.0028565604228005	0.763	NA	NA	NA
L1000	carbenoxolone	NA	0.04 uM	F06	3	0.0917791369573633	0.079	NA	NA	NA
L1000	carbimazole	antithyroid agent	0.04 uM	E06	3	0.113808719825425	0.044	NA	NA	NA
L1000	carglumic-acid	NA	0.04 uM	N24	3	0.0489567795432957	0.269	NA	NA	NA
L1000	cariprazine	dopamine receptor antagonist	0.04 uM	J24	3	0.0958290111919175	0.064	19	0.04508661046189499	0.071
L1000	carisoprodol	NA	0.04 uM	N24	3	0.0656034700698704	0.163	NA	NA	NA
L1000	carprofen	cyclooxygenase inhibitor	0.04 uM	I18	3	0.0434591715718609	0.311	27	0.021509994297136247	0.8
L1000	carvedilol	adrenergic receptor antagonist	0.04 uM	N12	3	0.0871966810138603	0.071	31	0.02824026971230739	0.436
L1000	cb-10-277-(free-acid)	dna synthesis inhibitor	0.04 uM	N12	3	0.0151803864656915	0.546	7	0.03550126678899226	0.374
L1000	cc-401	jnk inhibitor	0.04 uM	D24	3	0.1447541789567778	0.004	NA	NA	NA
L1000	cc-930	jnk inhibitor	0.04 uM	J06	3	0.125133091812186	0.036	NA	NA	NA
L1000	cediranib	NA	0.04 uM	F24	3	0.0608079424795141	0.235	NA	NA	NA
L1000	cefdinir	bacterial cell wall synthesis inhibitor	0.04 uM	B18	3	0.0487989711232432	0.22	14	0.018874742089081693	0.725
L1000	cefepime	bacterial cell wall synthesis inhibitor	0.04 uM	A18	3	-6.97260734654e-4	0.749	14	0.018874742089081693	0.725
L1000	cefoperazone	bacterial cell wall synthesis inhibitor	0.04 uM	I24	4	-0.0027583408077001	0.914	14	0.018874742089081693	0.725
L1000	cefotetan	bacterial cell wall synthesis inhibitor	0.04 uM	N24	2	0.1125053243796869	0.107	14	0.018874742089081693	0.725
L1000	cefozopran	bacterial cell wall synthesis inhibitor	0.04 uM	L24	3	0.0297528674827129	0.376	14	0.018874742089081693	0.725
L1000	celecoxib	cyclooxygenase inhibitor	0.04 uM	L18	4	0.0281400955391394	0.337	27	0.021509994297136247	0.8
L1000	cep-37440	alk tyrosine kinase receptor inhibitor	0.04 uM	O12	3	0.0103187531652213	0.658	3	0.0623671511082742	0.212
L1000	cepharanthine	nfkb pathway inhibitor	0.04 uM	D24	3	0.0453220749667977	0.265	4	0.04729726379384144	0.285
L1000	cgp12177	adrenergic receptor agonist	0.04 uM	H06	3	-0.0161418195749396	0.924	20	0.023120714874278935	0.659
L1000	chlorambucil	dna inhibitor	0.04 uM	D24	3	0.0727460317012423	0.087	5	-0.022767868239682652	0.895
L1000	chlormezanone	gaba receptor modulator	0.04 uM	O24	3	0.0498185992621054	0.27	4	-0.041958248021850456	0.935
L1000	chloroxine	opioid receptor antagonist	0.04 uM	I12	3	0.1354931328103519	0.082	4	0.07450035494766855	0.143
L1000	chlorphenamine	histamine receptor antagonist	0.04 uM	D06	3	-0.0360842377265563	0.973	24	0.03057111591228856	0.338
L1000	chlorpromazine	dopamine receptor antagonist	0.04 uM	G12	3	0.1316453521519696	0.017	19	0.04508661046189499	0.071
L1000	chlorpropamide	atp channel blocker	0.04 uM	A18	3	0.1255481546510956	0.036	3	0.03442879096807153	0.37
L1000	chlortalidone	diuretic	0.04 uM	O12	3	-0.0132684292955988	0.895	NA	NA	NA
L1000	cholic-acid	NA	0.04 uM	M18	2	0.0292754688950592	0.436	NA	NA	NA
L1000	choline-alfoscerate	NA	0.04 uM	J24	3	0.1255161275024131	0.026	NA	NA	NA
L1000	cianidanol	fatty acid synthase inhibitor	0.04 uM	J12	3	0.0054306003029524	0.759	NA	NA	NA
L1000	ciclesonide	glucocorticoid receptor agonist	0.04 uM	M06	3	0.085634252903753	0.108	14	0.3021105579944646	0
L1000	ciglitazone	ppar receptor agonist	0.04 uM	D18	3	0.1132873923576856	0.035	3	0.09154583646303617	0.112
L1000	cilengitide	integrin antagonist	0.04 uM	C18	3	0.0534365610402023	0.24	5	0.031415297388940146	0.422
L1000	cilomilast	phosphodiesterase inhibitor	0.04 uM	F06	3	0.0226087052979817	0.453	28	0.03431174021657605	0.199
L1000	cilostazol	phosphodiesterase inhibitor	0.04 uM	L18	3	0.0711274098990165	0.091	28	0.03431174021657605	0.199
L1000	cimetidine	histamine receptor antagonist	0.04 uM	O18	3	0.0116744056373709	0.588	24	0.03057111591228856	0.338
L1000	cinaciguat	NA	0.04 uM	P24	3	0.0606765091875732	0.244	NA	NA	NA
L1000	cinepazide	calcium channel activator	0.04 uM	L18	3	8.545246549245e-4	0.75	NA	NA	NA
L1000	cinnarizine	calcium channel blocker	0.04 uM	N06	3	-0.0074568628130569	0.82	15	0.037350027101995545	0.218
L1000	cinoxacin	topoisomerase inhibitor	0.04 uM	K18	3	0.080632459855086	0.136	15	0.012178375448432914	0.889
L1000	ciprofloxacin	bacterial dna gyrase inhibitor	0.04 uM	C18	3	0.0033051740745265	0.705	11	0.04141624525593326	0.208
L1000	cisapride	serotonin receptor agonist	0.04 uM	F06	3	0.0154917605637594	0.556	12	0.006808932132952777	0.906
L1000	citalopram	serotonin reuptake inhibitor	0.04 uM	C18	3	0.0080269279814381	0.638	4	0.06021187199172311	0.206
L1000	cladribine	NA	0.04 uM	K06	3	0.1254924646001728	0.041	NA	NA	NA
L1000	clarithromycin	bacterial 50s ribosomal subunit inhibitor	0.04 uM	H12	3	0.1676278600213595	0.011	5	0.037527804504596786	0.354
L1000	clenbuterol	adrenergic receptor agonist	0.04 uM	H06	2	0.076763087798525	0.165	20	0.023120714874278935	0.659
L1000	climbazole	NA	0.04 uM	A12	3	0.0169386047216533	0.576	NA	NA	NA
L1000	clinafloxacin	bacterial dna gyrase inhibitor	0.04 uM	G12	3	0.0292221855803199	0.426	11	0.04141624525593326	0.208
L1000	clindamycin	protein synthesis inhibitor	0.04 uM	F06	3	0.0015205193094257	0.765	6	0.03385420571185717	0.388
L1000	clinofibrate	NA	0.04 uM	G24	3	0.0027893118377597	0.74	NA	NA	NA
L1000	clioquinol	chelating agent	0.04 uM	H06	3	0.0094456992307785	0.65	4	0.06310984206233572	0.195
L1000	clobetasol	glucocorticoid receptor agonist	0.04 uM	D18	3	0.276437377040505	0	14	0.3021105579944646	0
L1000	clofarabine	ribonucleoside reductase inhibitor	0.04 uM	I24	3	0.0990739260014222	0.066	NA	NA	NA
L1000	clofazimine	NA	0.04 uM	D06	3	0.0520760357808008	0.183	NA	NA	NA
L1000	clofibric-acid	ppar receptor agonist	0.04 uM	A24	3	0.1495082678118866	0.024	3	0.09154583646303617	0.112
L1000	clofoctol	protein synthesis inhibitor	0.04 uM	L24	4	0.0734036847625071	0.065	6	0.03385420571185717	0.388
L1000	clomethiazole	NA	0.04 uM	O12	3	0.1420066200849048	0.012	NA	NA	NA
L1000	clomifene	estrogen receptor antagonist	0.04 uM	E24	3	0.0438652480299116	0.321	NA	NA	NA
L1000	clonazepam	NA	0.04 uM	D24	3	0.0211787511937236	0.513	NA	NA	NA
L1000	clonidine	adrenergic receptor agonist	0.04 uM	B24	3	-0.0099775448627623	0.834	20	0.023120714874278935	0.659
L1000	clotrimazole	NA	0.04 uM	B24	3	0.0534620487136971	0.22	NA	NA	NA
L1000	clozapine	NA	0.04 uM	A12	3	-0.0693510459045456	0.996	NA	NA	NA
L1000	co-102862	sodium channel blocker	0.04 uM	H18	3	0.0151400720343642	0.592	11	0.05456462501098568	0.073
L1000	cobimetinib	mek inhibitor	0.04 uM	O24	4	0.080231486772495	0.059	8	0.17654681413958412	0.001
L1000	colchicine	microtubule inhibitor	0.04 uM	A24	2	0.0423950983343651	0.455	3	0.08993461917516103	0.116
L1000	colforsin-daproate	NA	0.04 uM	D06	3	0.0173945672699453	0.488	NA	NA	NA
L1000	combretastatin-a-4	NA	0.04 uM	O12	3	-0.0479389012895745	0.994	NA	NA	NA
L1000	conivaptan	vasopressin receptor antagonist	0.04 uM	A18	3	-0.0031854250663391	0.77	4	0.03587227640400114	0.366
L1000	cordycepin	dna inhibitor	0.04 uM	L12	2	0.2139915497427643	0.015	5	-0.022767868239682652	0.895
L1000	cp-945,598	cannabinoid receptor antagonist	0.04 uM	F24	3	0.001018351470037	0.796	NA	NA	NA
L1000	cpi-1189	tumor necrosis factor release inhibitor	0.04 uM	N18	3	0.1360636028290731	0.028	NA	NA	NA
L1000	cpi-613	NA	0.04 uM	K18	3	0.0224351094085767	0.636	NA	NA	NA
L1000	cromoglicic-acid	immunosuppressant	0.04 uM	L18	3	0.0791550808436602	0.073	NA	NA	NA
L1000	ct-7758	integrin antagonist	0.04 uM	P12	3	0.0719260714231796	0.13	5	0.031415297388940146	0.422
L1000	cts-1027	NA	0.04 uM	P24	3	0.1015948253751524	0.06	NA	NA	NA
L1000	curcumin	NA	0.04 uM	N18	3	-0.0216129249382351	0.923	NA	NA	NA
L1000	cx-4945	NA	0.04 uM	C12	3	0.0177734187539569	0.469	NA	NA	NA
L1000	cx-5461	rna polymerase inhibitor	0.04 uM	D18	3	0.0403320302742751	0.287	7	0.04118885161138401	0.29
L1000	cx516	glutamate receptor modulator	0.04 uM	B12	3	0.0850847519866603	0.124	3	-0.04301517695517075	0.806
L1000	cyanocobalamin	NA	0.04 uM	P24	3	0.0531015582032361	0.307	NA	NA	NA
L1000	cyclizine	histamine receptor modulator	0.04 uM	P12	2	0.0848280457899459	0.161	NA	NA	NA
L1000	cyclobenzaprine	NA	0.04 uM	L12	3	0.0361695393234524	0.406	NA	NA	NA
L1000	cyclosporin-a	calcineurin inhibitor	0.04 uM	N06	3	0.023020146751617	0.433	3	0.043873505981589817	0.307
L1000	cyproheptadine	histamine receptor antagonist	0.04 uM	H18	3	0.0187866161896629	0.552	24	0.03057111591228856	0.338
L1000	cyproterone-acetate	NA	0.04 uM	H12	3	0.0772823841704928	0.173	NA	NA	NA
L1000	cytarabine	ribonucleotide reductase inhibitor	0.04 uM	M12	3	0.0622577971822745	0.197	NA	NA	NA
L1000	cytisine	acetylcholine receptor agonist	0.04 uM	A12	3	0.0921556696954833	0.07	8	0.015122660302234282	0.688
L1000	d-serine	glutamate receptor agonist	0.04 uM	M12	3	0.0232045747621448	0.512	4	0.017566385278851848	0.54
L1000	dabigatran-etexilate	NA	0.04 uM	F18	3	-0.027753923534206	0.96	NA	NA	NA
L1000	dabrafenib	raf inhibitor	0.04 uM	I24	3	0.0269700485661155	0.483	5	0.06372803005423808	0.162
L1000	dacarbazine	dna alkylating agent	0.04 uM	N06	3	0.0850236666111926	0.086	NA	NA	NA
L1000	dacinostat	hdac inhibitor	0.04 uM	E18	3	0.1950910954994405	0.004	13	0.041945695794801355	0.148
L1000	dacomitinib	egfr inhibitor	0.04 uM	F24	3	0.0279353739746006	0.518	13	0.03209830980265936	0.311
L1000	danazol	NA	0.04 uM	A24	3	0.064744729316428	0.225	NA	NA	NA
L1000	danegaptide	NA	0.04 uM	N12	3	0.0029802976496364	0.721	NA	NA	NA
L1000	dantrolene	calcium channel blocker	0.04 uM	C06	3	0.110224539706273	0.034	15	0.037350027101995545	0.218
L1000	danusertib	NA	0.04 uM	A12	3	0.0521133291005263	0.229	NA	NA	NA
L1000	dapagliflozin	sodium/glucose cotransporter inhibitor	0.04 uM	F18	3	0.0787453693388336	0.128	NA	NA	NA
L1000	dapivirine	non-nucleoside reverse transcriptase inhibitor	0.04 uM	E06	3	0.0035764972621775	0.707	4	8.136442945324103e-4	0.716
L1000	dapsone	bacterial antifolate	0.04 uM	F06	3	0.0047140251079277	0.725	NA	NA	NA
L1000	darifenacin	acetylcholine receptor antagonist	0.04 uM	F24	3	0.1702309384575625	0.007	21	0.024049673768068394	0.598
L1000	darunavir	hiv protease inhibitor	0.04 uM	D18	3	0.0313070265813726	0.353	5	-0.04680464503202203	0.966
L1000	dasabuvir	hcv inhibitor	0.04 uM	M06	4	0.0140130161082331	0.623	7	0.04830205826337853	0.212
L1000	dasatinib	NA	0.04 uM	L18	3	0.0866304272309999	0.062	NA	NA	NA
L1000	dazoxiben	thromboxane synthase inhibitor	0.04 uM	G06	3	0.1165267875720789	0.054	NA	NA	NA
L1000	decitabine	dna methyltransferase inhibitor	0.04 uM	B24	3	0.0644705475042768	0.151	3	0.05475926534854291	0.248
L1000	defactinib	focal adhesion kinase inhibitor	0.04 uM	N24	3	0.0095650924887499	0.688	NA	NA	NA
L1000	deferasirox	chelating agent	0.04 uM	M24	3	0.0345571874770027	0.351	4	0.06310984206233572	0.195
L1000	deferiprone	chelating agent	0.04 uM	K06	3	-0.0129767514679543	0.881	4	0.06310984206233572	0.195
L1000	deforolimus	mtor inhibitor	0.04 uM	E24	3	0.285221093358057	0	6	0.3847240198679786	0
L1000	dehydroepiandrosterone	protein synthesis stimulant	0.04 uM	E12	3	-0.0103935902302639	0.893	3	0.04660779635927617	0.288
L1000	delanzomib	proteasome inhibitor	0.04 uM	L06	3	0.0827419262687814	0.095	4	0.06035202811011936	0.206
L1000	delivert	NA	0.04 uM	D18	3	0.1064460240792545	0.04	NA	NA	NA
L1000	deoxycholic-acid	NA	0.04 uM	P06	3	0.2232861897846386	0.005	NA	NA	NA
L1000	dequalinium	pkc inhibitor	0.04 uM	M06	3	0.0633876701035721	0.189	4	-0.03270483459588233	0.905
L1000	desmopressin-acetate	NA	0.04 uM	L24	3	0.0262532540553781	0.418	NA	NA	NA
L1000	dexamethasone	glucocorticoid receptor agonist	0.04 uM	N06	3	0.234313154111148	0	14	0.3021105579944646	0
L1000	dexamethasone	glucocorticoid receptor agonist	0.04 uM	F06	3	0.234313154111148	0.001	14	0.3021105579944646	0
L1000	dexfenfluramine	NA	0.04 uM	I12	3	0.0576243439978584	0.342	NA	NA	NA
L1000	dexloxiglumide	cck receptor antagonist	0.04 uM	P06	3	0.0166104070362595	0.723	4	-0.017906961248914402	0.844
L1000	dexniguldipine	calmodulin antagonist	0.04 uM	O24	3	-0.0508261354659782	0.976	NA	NA	NA
L1000	dextromethorphan	NA	0.04 uM	G12	3	0.0755009018716902	0.113	NA	NA	NA
L1000	diacerein	NA	0.04 uM	F24	3	0.0174140908435853	0.628	NA	NA	NA
L1000	diazepam	NA	0.04 uM	E18	2	0.0128629008526959	0.552	NA	NA	NA
L1000	diazoxide	potassium channel activator	0.04 uM	P24	3	0.0947489409843565	0.083	6	-0.00863491818184327	0.875
L1000	diclofenac	cyclooxygenase inhibitor	0.04 uM	C12	3	-0.0164655531383902	0.876	27	0.021509994297136247	0.8
L1000	diclofensine	dopamine reuptake inhibitor	0.04 uM	M18	3	0.0188063126835812	0.506	NA	NA	NA
L1000	dicloxacillin	bacterial cell wall synthesis inhibitor	0.04 uM	H06	3	-5.477615868267e-4	0.796	14	0.018874742089081693	0.725
L1000	dicoumarol	NA	0.04 uM	G24	3	0.0433561028257424	0.332	NA	NA	NA
L1000	dideoxyadenosine	nucleoside reverse transcriptase inhibitor	0.04 uM	K18	3	0.0411173848908185	0.388	4	0.06901797296356074	0.169
L1000	dienogest	progesterone receptor agonist	0.04 uM	J06	3	0.0280838261283956	0.497	7	0.019877764301689006	0.605
L1000	diethylcarbamazine	lipoxygenase inhibitor	0.04 uM	C12	3	0.0158884059661113	0.489	3	0.024555196919252287	0.426
L1000	diethylstilbestrol	estrogen receptor agonist	0.04 uM	C18	3	0.1664998861671465	0.008	6	0.03895864701383736	0.32
L1000	diflunisal	prostanoid receptor antagonist	0.04 uM	G12	3	0.1246711351434417	0.022	3	0.18378554192661814	0.012
L1000	dihydroergocristine	NA	0.04 uM	O18	2	0.0763508779148529	0.216	NA	NA	NA
L1000	dihydroergotamine	serotonin receptor agonist	0.04 uM	N24	3	0.0061981363647814	0.706	12	0.006808932132952777	0.906
L1000	dilazep	NA	0.04 uM	N24	3	0.0015309901368643	0.738	NA	NA	NA
L1000	diltiazem	calcium channel blocker	0.04 uM	F18	3	0.0515793386362864	0.249	15	0.037350027101995545	0.218
L1000	dimesna	tubulin inhibitor	0.04 uM	O12	3	0.1020694874145251	0.056	8	0.08910115071583247	0.026
L1000	dimethyl-fumarate	NA	0.04 uM	A12	3	0.0371980574322143	0.335	NA	NA	NA
L1000	diminazene-aceturate	NA	0.04 uM	C12	3	0.0146485457475907	0.506	NA	NA	NA
L1000	dinaciclib	cdk inhibitor	0.04 uM	J06	3	0.1471071809001223	0.018	7	4.1074255380421453e-4	0.86
L1000	dinoprost	NA	0.04 uM	A12	3	-0.0439538087018252	0.972	NA	NA	NA
L1000	diosmin	NA	0.04 uM	E18	3	0.1365783968513254	0.016	NA	NA	NA
L1000	diphenidol	acetylcholine receptor agonist	0.04 uM	H12	4	-0.0031517348884303	0.925	8	0.015122660302234282	0.688
L1000	dipraglurant	NA	0.04 uM	I18	3	0.0123397737528196	0.707	NA	NA	NA
L1000	dipyridamole	phosphodiesterase inhibitor	0.04 uM	P18	3	0.0262778400902786	0.642	28	0.03431174021657605	0.199
L1000	disopyramide	sodium channel blocker	0.04 uM	M24	3	0.0613956065085914	0.168	11	0.05456462501098568	0.073
L1000	disulfiram	NA	0.04 uM	E24	3	0.0897712327830024	0.089	NA	NA	NA
L1000	dmp-777	elastase inhibitor	0.04 uM	L12	3	0.0240030675913397	0.517	NA	NA	NA
L1000	docetaxel	tubulin inhibitor	0.04 uM	H18	3	0.1671638603160551	0.003	8	0.08910115071583247	0.026
L1000	dofequidar	NA	0.04 uM	N06	3	0.0490663511058476	0.21	NA	NA	NA
L1000	dolutegravir	hiv integrase inhibitor	0.04 uM	P12	2	0.0650841024118431	0.229	3	0.16876177849231633	0.017
L1000	donepezil	acetylcholinesterase inhibitor	0.04 uM	L12	2	0.1316342705136647	0.081	NA	NA	NA
L1000	donitriptan	serotonin receptor agonist	0.04 uM	I18	3	0.0477442182521147	0.272	12	0.006808932132952777	0.906
L1000	dopamine	dopamine receptor agonist	0.04 uM	O12	3	-0.0085920169214925	0.859	9	0.02980641594087593	0.427
L1000	doramapimod	p38 mapk inhibitor	0.04 uM	C06	2	0.0683199574642886	0.195	6	0.06408942916359599	0.127
L1000	dorzolamide	carbonic anhydrase inhibitor	0.04 uM	K18	3	0.0285371803193953	0.558	5	0.042010282343125316	0.305
L1000	doxapram	potassium channel blocker	0.04 uM	F06	3	0.1548557665218988	0.014	4	0.19284139319325985	0.006
L1000	doxazosin	adrenergic receptor antagonist	0.04 uM	H12	3	0.1063387747223453	0.079	31	0.02824026971230739	0.436
L1000	doxepin	histamine receptor antagonist	0.04 uM	N06	3	0.0083171051761051	0.623	24	0.03057111591228856	0.338
L1000	doxifluridine	thymidylate synthase inhibitor	0.04 uM	H24	3	0.0744762899384651	0.225	NA	NA	NA
L1000	doxofylline	adenosine receptor antagonist	0.04 uM	J12	3	0.0548028919977188	0.253	4	0.012554783865449313	0.593
L1000	doxorubicin	topoisomerase inhibitor	0.04 uM	L24	3	0.3672128963817075	0	15	0.012178375448432914	0.889
L1000	doxycycline-hyclate	bacterial 30s ribosomal subunit inhibitor	0.04 uM	D12	3	0.0129455850155754	0.618	5	0.012782180961460946	0.613
L1000	dpcpx	adenosine receptor antagonist	0.04 uM	I06	4	0.040035210509198	0.354	4	0.012554783865449313	0.593
L1000	dpi-201106	NA	0.04 uM	H24	3	0.0738023317340515	0.227	NA	NA	NA
L1000	dronedarone	adrenergic receptor antagonist	0.04 uM	G06	3	-0.0080835784486183	0.834	31	0.02824026971230739	0.436
L1000	droperidol	dopamine receptor antagonist	0.04 uM	J06	3	0.0455972899945451	0.303	19	0.04508661046189499	0.071
L1000	drospirenone	mineralocorticoid receptor antagonist	0.04 uM	E12	4	0.0375770271037842	0.325	3	-0.08148227081925062	0.918
L1000	du-728	NA	0.04 uM	E12	3	0.046427255108423	0.267	NA	NA	NA
L1000	duloxetine	NA	0.04 uM	L18	3	-0.0021396004929032	0.781	NA	NA	NA
L1000	dutasteride	5 alpha reductase inhibitor	0.04 uM	L06	3	0.1144251802728112	0.046	NA	NA	NA
L1000	e-2012	NA	0.04 uM	O18	3	0.2674811894947656	0	NA	NA	NA
L1000	ebselen	NA	0.04 uM	L24	3	0.094834211829146	0.044	NA	NA	NA
L1000	econazole	NA	0.04 uM	D18	3	0.0532863913521115	0.197	NA	NA	NA
L1000	edoxaban	coagulation factor inhibitor	0.04 uM	K24	3	0.0799812135555713	0.12	4	0.05859160855984752	0.215
L1000	edoxudine	dna directed dna polymerase inhibitor	0.04 uM	E24	3	0.0020532399092689	0.741	NA	NA	NA
L1000	efaproxiral	NA	0.04 uM	B12	3	0.0225678350332744	0.545	NA	NA	NA
L1000	efavirenz	hiv protease inhibitor	0.04 uM	G24	3	0.231835604852846	0.001	5	-0.04680464503202203	0.966
L1000	eflornithine	NA	0.04 uM	L24	3	0.0673054113362723	0.121	NA	NA	NA
L1000	elesclomol	oxidative stress inducer	0.04 uM	O18	3	0.1029691682438746	0.062	NA	NA	NA
L1000	ellagic-acid	NA	0.04 uM	P18	3	0.0904300849884723	0.123	NA	NA	NA
L1000	emd-1214063	NA	0.04 uM	P12	3	0.0732357412064913	0.129	NA	NA	NA
L1000	emd-53998	phosphodiesterase inhibitor	0.04 uM	L06	3	0.0407516723536421	0.321	28	0.03431174021657605	0.199
L1000	emedastine	histamine receptor antagonist	0.04 uM	M18	2	-0.0355466205210519	0.917	24	0.03057111591228856	0.338
L1000	emtricitabine	nucleoside reverse transcriptase inhibitor	0.04 uM	O24	3	0.064420003246293	0.18	4	0.06901797296356074	0.169
L1000	enalapril	angiotensin converting enzyme inhibitor	0.04 uM	H06	3	0.0051808119373806	0.72	8	-0.0014904296295823525	0.918
L1000	enoxacin	topoisomerase inhibitor	0.04 uM	L24	2	0.1797570762739267	0.032	15	0.012178375448432914	0.889
L1000	entecavir	NA	0.04 uM	C06	3	0.1642441609551505	0.007	NA	NA	NA
L1000	entinostat	hdac inhibitor	0.04 uM	A24	3	0.0341903119363602	0.525	13	0.041945695794801355	0.148
L1000	enzalutamide	androgen receptor antagonist	0.04 uM	I24	3	0.1464723943579731	0.012	5	0.008591733521444852	0.654
L1000	enzastaurin	pkc inhibitor	0.04 uM	P06	2	0.1093021047165497	0.211	4	-0.03270483459588233	0.905
