compound	dose	no_of_replicates_per_compound	well	median_replicate_correlation	p_value	assay
diethylstilbestrol	10 uM	5	C13	0.2433395901704409	0	Cell Painting
diflunisal	10 uM	5	G07	0.056340929696394	0.109	Cell Painting
dihydroergocristine	10 uM	5	O13	0.4627160296824402	0	Cell Painting
dihydroergotamine	10 uM	5	N19	0.0533722697120799	0.083	Cell Painting
dilazep	10 uM	5	N19	0.5354459207924178	0	Cell Painting
diltiazem	10 uM	5	F13	0.4746998878362266	0	Cell Painting
dimesna	10 uM	5	O07	0.0480139764113299	0.027	Cell Painting
dimethyl-fumarate	10 uM	5	A07	0.1417009384644934	0	Cell Painting
diminazene-aceturate	10 uM	5	C07	0.2385229826748818	0	Cell Painting
dinaciclib	10 uM	5	J01	0.7654812363018754	0	Cell Painting
dinoprost	10 uM	5	A07	0.0656937370314498	0.003	Cell Painting
diosmin	10 uM	5	E13	0.3649631001803024	0	Cell Painting
diphenidol	10 uM	4	H07	0.078348472172163	0.022	Cell Painting
dipraglurant	10 uM	5	I13	0.0557133350591764	0.006	Cell Painting
dipyridamole	10 uM	5	P13	0.124585956989275	0	Cell Painting
disopyramide	10 uM	5	M19	0.1245013049194967	0	Cell Painting
disulfiram	10 uM	5	E19	0.3214484895652997	0	Cell Painting
dmp-777	10 uM	5	L07	0.5153586228053773	0	Cell Painting
docetaxel	10 uM	5	H13	0.615078747965301	0	Cell Painting
dofequidar	10 uM	5	N01	0.2515648912895808	0	Cell Painting
dolutegravir	10 uM	5	P07	0.4919818540192292	0	Cell Painting
donepezil	10 uM	5	L07	0.0773531961699467	0.002	Cell Painting
donitriptan	10 uM	5	I13	0.0193577626791646	0.292	Cell Painting
dopamine	10 uM	2	O07	-0.0251268234615214	0.776	Cell Painting
doramapimod	10 uM	5	C01	0.2493033163820932	0	Cell Painting
dorzolamide	10 uM	5	K13	0.1136191686874801	0	Cell Painting
doxapram	10 uM	5	F01	0.057051582176166	0.078	Cell Painting
doxazosin	10 uM	5	H07	0.6375199047397317	0	Cell Painting
doxepin	10 uM	5	N01	0.1582647803102553	0	Cell Painting
doxifluridine	10 uM	5	H19	0.2118406861730244	0	Cell Painting
doxofylline	10 uM	5	J07	0.1047199114821118	0.001	Cell Painting
doxorubicin	10 uM	5	L19	0.5484244040394302	0	Cell Painting
doxycycline-hyclate	10 uM	5	D07	0.6531594523783324	0	Cell Painting
dpcpx	10 uM	4	I01	0.1771050040705844	0.001	Cell Painting
dpi-201106	10 uM	5	H19	0.6249988984235418	0	Cell Painting
dronedarone	10 uM	5	G01	0.332154798068867	0	Cell Painting
droperidol	10 uM	5	J01	0.1161353938979257	0	Cell Painting
drospirenone	10 uM	4	E07	0.1265666012623295	0.001	Cell Painting
du-728	10 uM	5	E07	0.0382663877300019	0.104	Cell Painting
duloxetine	10 uM	5	L13	0.3447683831594326	0	Cell Painting
dutasteride	10 uM	5	L01	0.3522609988498663	0	Cell Painting
e-2012	10 uM	5	O13	0.6174718343556149	0	Cell Painting
ebselen	10 uM	5	L19	0.5521132638094564	0	Cell Painting
econazole	10 uM	5	D13	0.4681238744739501	0	Cell Painting
edoxaban	10 uM	5	K19	0.037910771470308	0.2	Cell Painting
edoxudine	10 uM	5	E19	0.199746096509873	0	Cell Painting
efaproxiral	10 uM	2	B07	0.0439826067184133	0.214	Cell Painting
efavirenz	10 uM	2	G19	0.2067588638021738	0.013	Cell Painting
eflornithine	10 uM	5	L19	0.3616311868000085	0	Cell Painting
elesclomol	10 uM	5	O13	0.4360691447644972	0	Cell Painting
ellagic-acid	10 uM	5	P13	0.072395987793733	0.005	Cell Painting
emd-1214063	10 uM	5	P07	0.5657578515997643	0	Cell Painting
emd-53998	10 uM	5	L01	0.2305664579257755	0	Cell Painting
emedastine	10 uM	5	M13	0.0618475280793513	0.009	Cell Painting
emtricitabine	10 uM	5	O19	0.0854515668876843	0.009	Cell Painting
enalapril	10 uM	5	H01	0.0919865598057783	0.012	Cell Painting
enoxacin	10 uM	5	L19	0.076474025720025	0.009	Cell Painting
entecavir	10 uM	5	C01	0.313659066169024	0	Cell Painting
entinostat	10 uM	5	A19	0.462921563458862	0	Cell Painting
enzalutamide	10 uM	5	I19	0.3878048986160131	0	Cell Painting
enzastaurin	10 uM	5	P01	0.6050426163268838	0	Cell Painting
eperezolid	10 uM	5	H07	0.0907453176278541	0.003	Cell Painting
epinastine	10 uM	5	M07	0.0691011155442547	0	Cell Painting
epinephrine	10 uM	5	E01	0.1007988206553905	0.002	Cell Painting
epirizole	10 uM	2	E19	0.0626845187868677	0.257	Cell Painting
epirubicin	10 uM	5	E07	0.7578337213749164	0	Cell Painting
epitiostanol	10 uM	4	J19	0.2153910326104617	0.001	Cell Painting
epothilone-b	10 uM	5	C07	0.6669624842304003	0	Cell Painting
equol	10 uM	5	L01	0.1390014032595747	0	Cell Painting
ercalcitriol	10 uM	5	J19	0.25199260988056	0	Cell Painting
erlotinib	10 uM	5	G01	0.5463636666077043	0	Cell Painting
erteberel	10 uM	5	B19	0.2948164506210946	0	Cell Painting
erythromycin	10 uM	5	G07	0.02023383211125	0.662	Cell Painting
erythromycin	10 uM	5	C07	0.02023383211125	0.312	Cell Painting
escitalopram	10 uM	5	H19	0.0758661927432187	0.004	Cell Painting
esmolol	10 uM	5	M13	0.2133566169815818	0	Cell Painting
estramustine	10 uM	5	H07	0.4100092303648047	0	Cell Painting
estramustine-phosphate	10 uM	4	A07	0.0239606263769495	0.197	Cell Painting
estriol	10 uM	5	P13	0.0829186654805187	0.002	Cell Painting
estrone	10 uM	2	C13	0.0936591554266314	0.103	Cell Painting
etacrynic-acid	10 uM	5	H07	0.2125597448821809	0	Cell Painting
etanidazole	10 uM	5	K13	0.1336137200823933	0	Cell Painting
etazolate	10 uM	5	J01	0.1202958307267162	0	Cell Painting
ethinyl-estradiol	10 uM	4	K01	0.426428515243995	0	Cell Painting
ethylenediaminetetraacetic-acid	10 uM	5	B07	0.1782601417948282	0	Cell Painting
etizolam	10 uM	5	D07	0.1811589095005977	0	Cell Painting
etodolac	10 uM	5	J01	0.1686734406991303	0	Cell Painting
etofylline-clofibrate	10 uM	5	N13	0.2495694701884792	0	Cell Painting
etomidate	10 uM	5	O13	0.0597028052463096	0.013	Cell Painting
etomoxir	10 uM	5	E13	0.2830989163033179	0	Cell Painting
etoposide	10 uM	5	P19	0.7697697164288664	0	Cell Painting
etoricoxib	10 uM	5	K01	0.1179745572689558	0.002	Cell Painting
etravirine	10 uM	5	I07	0.8202946887518638	0	Cell Painting
eugenol	10 uM	5	M01	0.0945469964220298	0.057	Cell Painting
everolimus	10 uM	5	H01	0.5655140076469851	0	Cell Painting
evp-6124	10 uM	5	M01	0.2010427069261956	0	Cell Painting
exalamide	10 uM	5	C07	0.2802392888415391	0	Cell Painting
exemestane	10 uM	5	A19	0.2488250146646743	0	Cell Painting
exherin	10 uM	5	H13	0.0126474631634079	0.47	Cell Painting
fadrozole	10 uM	5	N13	0.1270353036092873	0	Cell Painting
famciclovir	10 uM	5	B19	0.1499342943830301	0	Cell Painting
famotidine	10 uM	4	D19	0.0603939338629501	0.047	Cell Painting
faropenem	10 uM	5	M01	0.1796778975038677	0.001	Cell Painting
fasudil	10 uM	5	L01	0.1499308461784981	0	Cell Painting
favipiravir	10 uM	5	B19	0.0410734567140553	0.078	Cell Painting
fdcyd	10 uM	5	P01	0.6627718133556626	0	Cell Painting
febuxostat	10 uM	5	I13	0.4032698422930226	0	Cell Painting
felbinac	10 uM	5	P13	0.0731315125306004	0.004	Cell Painting
felodipine	10 uM	5	G07	0.1728513401465718	0	Cell Painting
fenobam	10 uM	5	O13	0.0360727101887644	0.11	Cell Painting
fenoterol	10 uM	5	I01	0.0571662949538448	0.088	Cell Painting
fenticonazole	10 uM	5	N19	0.3087393020491593	0	Cell Painting
fexofenadine	10 uM	5	L07	0.0491618154305571	0.024	Cell Painting
fiacitabine	10 uM	5	L19	0.303545165153802	0	Cell Painting
fidarestat	10 uM	5	G07	0.0322026855434052	0.415	Cell Painting
fidaxomicin	10 uM	5	D13	0.5402378540225563	0	Cell Painting
filgotinib	10 uM	5	H13	0.4407747508225331	0	Cell Painting
finasteride	10 uM	5	A13	0.2754346335857244	0	Cell Painting
fipronil	10 uM	5	O19	0.3256372964081112	0	Cell Painting
firategrast	10 uM	5	L01	0.1057105373448601	0.008	Cell Painting
flavoxate	10 uM	5	H13	0.1827442568416673	0.001	Cell Painting
flecainide	10 uM	5	I01	0.1768435817899148	0	Cell Painting
floxuridine	10 uM	5	P13	0.681501016369514	0	Cell Painting
fluconazole	10 uM	5	G19	0.0280480030151294	0.285	Cell Painting
fludarabine-phosphate	10 uM	5	K19	0.2633604794047042	0	Cell Painting
fludroxycortide	10 uM	5	N07	0.4824520645678357	0	Cell Painting
flumatinib	10 uM	5	F01	0.60967251692283	0	Cell Painting
flumazenil	10 uM	5	M01	0.2965908750072346	0	Cell Painting
fluocinonide	10 uM	5	P07	0.5770350231181589	0	Cell Painting
fluorometholone	10 uM	5	G01	0.6815043295442702	0	Cell Painting
fluorouracil	10 uM	5	J19	0.4228512763069749	0	Cell Painting
fluoxetine	10 uM	5	A13	0.5158086828471469	0	Cell Painting
fluphenazine	10 uM	5	K19	0.5467917328351233	0	Cell Painting
fluspirilene	10 uM	5	L07	0.7001012731182457	0	Cell Painting
flutamide	10 uM	5	A19	0.2191165416505009	0	Cell Painting
fluticasone	10 uM	5	B19	0.3479088969649959	0	Cell Painting
flutrimazole	10 uM	4	B13	0.1320623950863563	0	Cell Painting
fluvoxamine	10 uM	5	H13	0.2404876761300939	0	Cell Painting
folic-acid	10 uM	5	O19	0.1189301134291564	0.001	Cell Painting
fomepizole	10 uM	5	F01	0.0654741501662198	0.054	Cell Painting
fomocaine	10 uM	5	B13	0.1488469782999133	0	Cell Painting
foretinib	10 uM	4	P19	0.4566848346838843	0.011	Cell Painting
formestane	10 uM	5	O13	0.2589899425345298	0	Cell Painting
formoterol	10 uM	5	I13	0.2437650134754161	0	Cell Painting
forskolin	10 uM	5	J07	0.2326164506762414	0	Cell Painting
fosfomycin	10 uM	5	I19	0.0265907851565777	0.17	Cell Painting
fostamatinib	10 uM	5	D19	0.5969271460927162	0	Cell Painting
fpl-62064	10 uM	5	M07	0.5822554022975923	0	Cell Painting
ftorafur	10 uM	5	O07	0.0452163182755498	0.037	Cell Painting
fulvestrant	10 uM	4	O07	0.3507775580516274	0	Cell Painting
fusidic-acid	10 uM	5	L13	0.1210987902024794	0	Cell Painting
gabapentin	10 uM	5	M19	0.0194229881002552	0.304	Cell Painting
galeterone	10 uM	5	A13	0.5273775846865809	0	Cell Painting
ganaxolone	10 uM	5	H19	0.1232792894502156	0	Cell Painting
gatifloxacin	10 uM	5	B07	0.0766271173434721	0	Cell Painting
gdc-0068	10 uM	5	I07	0.4959312206356908	0	Cell Painting
gdc-0152	10 uM	5	M01	0.4183027319378374	0	Cell Painting
gdc-0199	10 uM	5	G01	0.6847732292869881	0	Cell Painting
gdc-0834	10 uM	5	H07	0.6203248667725245	0	Cell Painting
gefitinib	10 uM	5	H13	0.4853191058240536	0	Cell Painting
gemcitabine	10 uM	5	N13	0.699527204614987	0	Cell Painting
gemfibrozil	10 uM	5	M19	0.1167956312083848	0.001	Cell Painting
gemifloxacin	10 uM	2	H19	0.0522616086116356	0.243	Cell Painting
genz-644282	10 uM	5	E01	0.7734198278269335	0	Cell Painting
gestrinone	10 uM	5	P13	0.2344002358005152	0	Cell Painting
gimeracil	10 uM	5	N13	0.0402278166271452	0.107	Cell Painting
ginkgolide-b	10 uM	5	F13	0.0288586492693772	0.266	Cell Painting
glasdegib	10 uM	5	L01	0.0581523978728907	0.137	Cell Painting
gliclazide	10 uM	5	P01	0.0676028447121462	0.07	Cell Painting
glimepiride	10 uM	5	K19	0.38114267025912407	0	Cell Painting
glipizide	10 uM	5	B13	0.1412307100729863	0	Cell Painting
gliquidone	10 uM	5	B13	0.1613903955004522	0	Cell Painting
glycitein	10 uM	5	M13	0.0735903880471273	0.003	Cell Painting
glycopyrrolate	10 uM	5	N19	0.0995891478103853	0.001	Cell Painting
golvatinib	10 uM	5	F13	0.808158361488823	0	Cell Painting
goserelin-acetate	10 uM	5	L19	0.1860313708481084	0	Cell Painting
granisetron	10 uM	5	M07	0.2819309461881111	0	Cell Painting
grazoprevir	10 uM	5	N07	0.6367020795695907	0	Cell Painting
griseofulvin	10 uM	5	C01	0.4655588183428811	0	Cell Painting
gsk1292263	10 uM	5	G19	0.4796305637457804	0	Cell Painting
gsk2110183	10 uM	5	A07	0.2980593585972265	0	Cell Painting
gsk256066	10 uM	2	B19	0.0555354617543584	0.198	Cell Painting
gsk2636771	10 uM	5	K13	0.2031675101087455	0	Cell Painting
guanabenz	10 uM	5	E01	0.1409005834615884	0.001	Cell Painting
guanadrel	10 uM	5	J19	0.2588804249531691	0	Cell Painting
guanethidine	10 uM	5	D07	0.0689104755413536	0.013	Cell Painting
gw842166	10 uM	5	B07	0.106022031925384	0	Cell Painting
halcinonide	10 uM	5	C01	0.3889311211233526	0	Cell Painting
haloperidol	10 uM	5	N07	0.442079317515212	0	Cell Painting
hc-030031	10 uM	5	G07	0.1239416676484149	0.002	Cell Painting
hesperidin	10 uM	5	F13	0.0371549263225167	0.169	Cell Painting
hexachlorophene	10 uM	5	M19	0.523180519500106	0	Cell Painting
histamine	10 uM	4	H13	0.1262845075133965	0.003	Cell Painting
homochlorcyclizine	10 uM	5	J01	0.4287429934714342	0	Cell Painting
homoharringtonine	10 uM	5	L07	0.6933987327126672	0	Cell Painting
honokiol	10 uM	5	A19	0.1380555430157902	0.001	Cell Painting
hydrocortisone	10 uM	5	E19	0.5042368281483876	0	Cell Painting
hydroxyurea	10 uM	5	C13	0.4033854075842936	0	Cell Painting
hymecromone	10 uM	5	E13	0.1343270779432482	0	Cell Painting
hypericin	10 uM	5	M13	0.4266409905287587	0	Cell Painting
i-bet-762	10 uM	5	A19	0.5627536637515616	0	Cell Painting
ib-meca	10 uM	5	B07	0.0581004413421602	0.004	Cell Painting
ibrutinib	10 uM	5	G19	0.4501324214607211	0	Cell Painting
ibudilast	10 uM	5	E07	0.0335904980883559	0.149	Cell Painting
ibuprofen	10 uM	5	L13	0.0394400661123257	0.027	Cell Painting
ibutamoren	10 uM	5	C01	0.1281828562566381	0	Cell Painting
ici-162846	10 uM	5	M13	0.0225691866813762	0.263	Cell Painting
ici-185,282	10 uM	5	J01	0.0794898304724697	0.015	Cell Painting
ici-192605	10 uM	5	K19	-3.303129281297e-4	0.811	Cell Painting
idalopirdine	10 uM	5	N19	0.1401009048493553	0	Cell Painting
idelalisib	10 uM	5	I01	0.4235682524223063	0	Cell Painting
idoxuridin	10 uM	5	M13	0.3958262728937165	0	Cell Painting
ifosfamide	10 uM	5	P01	0.1422158699104339	0	Cell Painting
iguratimod	10 uM	5	O19	0.2096873558895806	0	Cell Painting
ilomastat	10 uM	5	D01	0.1432253774250038	0	Cell Painting
imatinib	10 uM	5	A19	0.5128146064015275	0	Cell Painting
imexon	10 uM	5	N07	0.0369826044874905	0.149	Cell Painting
imiloxan	10 uM	5	M01	0.0853703173357981	0.081	Cell Painting
imipramine	10 uM	2	E01	0.0471529126582806	0.327	Cell Painting
imiquimod	10 uM	5	E07	0.0341514244489471	0.145	Cell Painting
indacaterol	10 uM	5	E13	0.2159271007525139	0	Cell Painting
indapamide	10 uM	5	G01	0.0905514504071392	0.009	Cell Painting
indibulin	10 uM	5	G19	0.5472483742606156	0	Cell Painting
indinavir	10 uM	5	H07	0.142710558923659	0	Cell Painting
indiplon	10 uM	5	I01	0.1777356666993523	0	Cell Painting
indirubin	10 uM	5	M07	0.2526232251932714	0	Cell Painting
indobufen	10 uM	5	E01	0.0912725550775731	0.007	Cell Painting
indole	10 uM	4	H19	0.1243169573205267	0	Cell Painting
indoprofen	10 uM	2	O13	0.2452885625901759	0.011	Cell Painting
indoramin	10 uM	5	I19	0.2005455812185696	0	Cell Painting
ingenol-mebutate	10 uM	5	D19	0.5996305989525734	0	Cell Painting
iniparib	10 uM	5	P01	0.1034027977895473	0.004	Cell Painting
inosine	10 uM	5	J19	0.0275616806420632	0.135	Cell Painting
inositol	10 uM	5	P01	0.0870967798015762	0.014	Cell Painting
iowh032	10 uM	5	L19	0.4640558785068096	0	Cell Painting
ipratropium	10 uM	5	L13	0.0144707196975258	0.338	Cell Painting
ipriflavone	10 uM	5	E13	0.2412444623047865	0	Cell Painting
irinotecan	10 uM	5	C13	0.5907770402046533	0	Cell Painting
isbufylline	10 uM	5	I19	0.0332162030999054	0.098	Cell Painting
isoconazole	10 uM	5	E01	0.2272913358229941	0	Cell Painting
isofloxythepin	10 uM	5	P07	0.2508755198659096	0	Cell Painting
isosorbide	10 uM	5	F01	0.0912551822101485	0.012	Cell Painting
isradipine	10 uM	5	D01	0.0912705896193201	0	Cell Painting
istaroxime	10 uM	5	K13	0.8092303550510702	0	Cell Painting
itopride	10 uM	5	M07	0.0658051597733172	0.001	Cell Painting
ivabradine	10 uM	5	B19	0.140475997808437	0	Cell Painting
ivacaftor	10 uM	5	F19	0.4626146526929511	0	Cell Painting
ivermectin	10 uM	5	J19	0.775432490215822	0	Cell Painting
ixabepilone	10 uM	5	B07	0.690067609501894	0	Cell Painting
josamycin	10 uM	5	D01	0.2689683706240237	0	Cell Painting
kakonein	10 uM	5	O19	0.0757057502483599	0.014	Cell Painting
kbg	10 uM	4	B19	0.0377174154048819	0.128	Cell Painting
kd-023	10 uM	5	L19	0.2945979444788361	0	Cell Painting
kd025	10 uM	5	C13	0.4250683129518929	0	Cell Painting
ketoconazole	10 uM	5	L19	0.7666151460727129	0	Cell Painting
ketoprofen	10 uM	5	O13	0.0584689546202232	0.014	Cell Painting
ketorolac	10 uM	2	H07	0.2641866348085696	0.011	Cell Painting
ketotifen	10 uM	5	C13	0.0542305836003854	0.029	Cell Painting
kpt-330	10 uM	5	E13	0.833671651712467	0	Cell Painting
kw-2449	10 uM	5	K19	0.8368872734876727	0	Cell Painting
kw-2478	10 uM	2	J01	0.2201956327472209	0.016	Cell Painting
kx2-391	10 uM	5	F19	0.6288734493648761	0	Cell Painting
l-citrulline	10 uM	5	B19	0.0493334890200587	0.038	Cell Painting
l-ergothioneine	10 uM	5	P01	0.1386941924948026	0	Cell Painting
l-name	10 uM	5	G01	0.0954139385181064	0.008	Cell Painting
labetalol	10 uM	5	N13	0.0550254258636611	0.025	Cell Painting
lacitol	10 uM	5	K13	0.0549035030316738	0.012	Cell Painting
lacosamide	10 uM	5	C01	0.0521627514965411	0.057	Cell Painting
lafutidine	10 uM	5	P19	0.5404894991685425	0	Cell Painting
lamivudine	10 uM	4	N07	0.0732569042273921	0.037	Cell Painting
lamotrigine	10 uM	5	E07	0.0553783561722339	0.021	Cell Painting
lapatinib	10 uM	5	D07	0.7620298695215102	0	Cell Painting
lasalocid	10 uM	4	P01	0.7551489598049538	0	Cell Painting
latanoprost	10 uM	5	N01	0.1573951800917722	0	Cell Painting
lcl-161	10 uM	5	D01	0.4110159482421165	0	Cell Painting
ledipasvir	10 uM	5	E19	0.2510497883811491	0	Cell Painting
leflunomide	10 uM	5	M19	0.2902923443816025	0	Cell Painting
lenalidomide	10 uM	5	N01	0.2090442586426984	0	Cell Painting
lenvatinib	10 uM	2	G01	0.0630374189508195	0.215	Cell Painting
lerisetron	10 uM	5	E13	0.1551601093969075	0	Cell Painting
lersivirine	10 uM	4	P07	0.1012317200049527	0.018	Cell Painting
lestaurtinib	10 uM	5	G01	0.720658615444678	0	Cell Painting
letermovir	10 uM	5	L07	0.3221998273771273	0	Cell Painting
levalbuterol	10 uM	5	L07	0.0395115086171165	0.057	Cell Painting
levamisole	10 uM	5	O19	0.0352545427198292	0.281	Cell Painting
levcromakalim	10 uM	5	G01	0.0577013619994446	0.056	Cell Painting
levetiracetam	10 uM	5	P07	0.0758485835866508	0.031	Cell Painting
levobunolol	10 uM	5	C13	0.0771384904055751	0.01	Cell Painting
levocabastine	10 uM	5	H19	0.0547206246888746	0.032	Cell Painting
levocetirizine	10 uM	5	O19	0.3550327478588859	0	Cell Painting
levofloxacin	10 uM	5	H19	0.165420438918942	0	Cell Painting
levomequitazine	10 uM	5	N01	0.2932186575277644	0	Cell Painting
levonorgestrel	10 uM	5	G01	0.2422553123242005	0	Cell Painting
levosimendan	10 uM	4	N13	0.0759033254814979	0.013	Cell Painting
levothyroxine	10 uM	5	H01	0.0081615438362953	0.645	Cell Painting
lgx818	10 uM	5	A19	0.8744692080567297	0	Cell Painting
licochalcone-a	10 uM	5	D07	0.45442093902884523	0	Cell Painting
lidamidine	10 uM	5	D19	0.0473355994659595	0.046	Cell Painting
lidocaine	10 uM	5	F13	0.0099847021264904	0.581	Cell Painting
lidoflazine	10 uM	5	H01	0.7542269376938542	0	Cell Painting
linezolid	10 uM	5	M19	0.3297509366820723	0	Cell Painting
linifanib	10 uM	5	N13	0.5317850107552307	0	Cell Painting
linopirdine	10 uM	5	K13	0.3044204118351094	0	Cell Painting
linsidomine	10 uM	5	P07	0.0253172733516732	0.524	Cell Painting
linsitinib	10 uM	5	F13	0.6400627447658647	0	Cell Painting
liranaftate	10 uM	5	N19	0.5525695324121516	0	Cell Painting
lisinopril	10 uM	5	A13	0.0109689049624991	0.706	Cell Painting
lisofylline	10 uM	5	E13	0.0194008063718699	0.411	Cell Painting
lobenzarit	10 uM	5	B13	0.0794994231909075	0.002	Cell Painting
lodoxamide	10 uM	5	K13	0.0469736076554485	0.027	Cell Painting
lofexidine	10 uM	4	M07	0.0729149067420587	0.014	Cell Painting
lomeguatrib	10 uM	5	H07	0.1637427298219276	0	Cell Painting
lomerizine	10 uM	5	F13	0.5679462204837515	0	Cell Painting
lomitapide	10 uM	5	C13	0.7971527761065292	0	Cell Painting
lonafarnib	10 uM	5	P13	0.5791131922247202	0	Cell Painting
lonidamine	10 uM	5	N07	0.0737094639821202	0.016	Cell Painting
loperamide	10 uM	5	O13	0.570473807489841	0	Cell Painting
lopinavir	10 uM	5	P07	0.5809390202160297	0	Cell Painting
loratadine	10 uM	5	G07	0.5498069821006113	0	Cell Painting
lorazepam	10 uM	5	B07	0.1141620510442029	0	Cell Painting
lorcaserin	10 uM	5	K13	0.109261442721018	0	Cell Painting
lorglumide	10 uM	5	F13	0.0213220686696231	0.359	Cell Painting
losmapimod	10 uM	5	D01	0.2105420533476804	0	Cell Painting
loxoprofen	10 uM	2	N07	0.0014688058301106	0.63	Cell Painting
lucitanib	10 uM	5	B13	0.694195363927153	0	Cell Painting
luliconazole	10 uM	5	L07	0.237591640011136	0	Cell Painting
lupanine	10 uM	5	D01	0.0179619163329344	0.534	Cell Painting
lurasidone	10 uM	5	A13	0.4348195328841034	0	Cell Painting
lx1031	10 uM	5	D19	0.0742304197147446	0.006	Cell Painting
ly215490	10 uM	5	P07	0.0953460529666199	0.006	Cell Painting
ly2228820	10 uM	5	G01	0.5024218299176004	0	Cell Painting
ly2334737	10 uM	5	D19	0.659773904835689	0	Cell Painting
ly2784544	10 uM	5	M19	0.7735625382488003	0	Cell Painting
ly2811376	10 uM	5	F13	0.043966463642709	0.118	Cell Painting
ly2874455	10 uM	5	J07	0.7009345609327616	0	Cell Painting
ly2886721	10 uM	5	N13	0.1317383507070808	0	Cell Painting
macitentan	10 uM	5	P01	0.2298579796172	0	Cell Painting
malotilate	10 uM	5	P13	0.0664197825201194	0.009	Cell Painting
manumycin-a	10 uM	5	M07	0.4196906060833559	0	Cell Painting
maprotiline	10 uM	5	N19	0.427476396436634	0	Cell Painting
maraviroc	10 uM	5	C01	0.0979351190228769	0.001	Cell Painting
maribavir	10 uM	5	G07	0.1690606261850283	0	Cell Painting
marimastat	10 uM	5	F13	0.4995918552290502	0	Cell Painting
masitinib	10 uM	5	N07	0.5609406674822042	0	Cell Painting
masoprocol	10 uM	5	G01	0.3861097313690783	0	Cell Painting
maxacalcitol	10 uM	5	D01	0.1313989984806569	0	Cell Painting
mazindol	10 uM	5	D13	0.1029295769561105	0	Cell Painting
mbx-2982	10 uM	5	L07	0.3921427226814734	0	Cell Painting
mcpp	10 uM	5	G07	0.0860639932678524	0.015	Cell Painting
mebendazole	10 uM	5	I01	0.7181437308703786	0	Cell Painting
mecamylamine	10 uM	5	E01	0.1639667126182672	0.001	Cell Painting
meclofenamic-acid	10 uM	5	P01	0.1318610942723907	0	Cell Painting
meclozine	10 uM	5	E01	0.16709747817766	0.001	Cell Painting
medroxyprogesterone-acetate	10 uM	5	P07	0.4614181350241203	0	Cell Painting
medrysone	10 uM	5	F01	0.6189570662159687	0	Cell Painting
meglitinide	10 uM	5	B19	0.0587459595920867	0.021	Cell Painting
meisoindigo	10 uM	5	K01	0.3482034004766112	0	Cell Painting
mek162	10 uM	5	E13	0.5085655279435323	0	Cell Painting
melatonin	10 uM	5	J07	0.0399217643941302	0.119	Cell Painting
meloxicam	10 uM	5	C01	0.027983769907672	0.293	Cell Painting
melperone	10 uM	5	C13	0.0681612284496305	0.015	Cell Painting
menadione	10 uM	5	M07	0.8914922698963106	0	Cell Painting
mepacrine	10 uM	5	L01	0.6956978456026459	0	Cell Painting
mepazine	10 uM	5	H01	0.2385164760466407	0	Cell Painting
mephentermine	10 uM	5	O07	0.0476487407887188	0.031	Cell Painting
mepivacaine	10 uM	4	P01	0.2857464880076886	0	Cell Painting
mepyramine	10 uM	5	I13	0.0326321341991358	0.102	Cell Painting
merbarone	10 uM	5	I19	0.5412096986108155	0	Cell Painting
mericitabine	10 uM	5	G07	0.6400663371247142	0	Cell Painting
merimepodib	10 uM	5	H07	0.7322083752610526	0	Cell Painting
mestranol	10 uM	5	K19	0.2795907903689167	0	Cell Painting
mesulergine	10 uM	5	C07	0.1197886421922257	0	Cell Painting
metamizole	10 uM	5	J07	0.1367825641118521	0	Cell Painting
metatinib	10 uM	5	P13	0.4530909892177067	0	Cell Painting
metenkephalin	10 uM	5	N07	0.0232183148496841	0.319	Cell Painting
metergoline	10 uM	5	I19	0.679859714353845	0	Cell Painting
metformin	10 uM	5	P13	0.0259106981533684	0.358	Cell Painting
methazolamide	10 uM	5	G19	0.0689293248464845	0.008	Cell Painting
methimazole	10 uM	5	J19	0.0390950598571861	0.044	Cell Painting
methiopril	10 uM	5	K13	0.0197851191003935	0.268	Cell Painting
methocarbamol	10 uM	5	C01	0.0455432355216444	0.089	Cell Painting
methoxsalen	10 uM	5	E19	0.0957647725840928	0.005	Cell Painting
methyldopa	10 uM	5	M19	0.1504372479074114	0	Cell Painting
methylnaltrexone	10 uM	5	J01	0.511910559488657	0	Cell Painting
methylprednisolone	10 uM	5	H01	0.5360355370570027	0	Cell Painting
metixene	10 uM	5	I01	0.3179539226488341	0	Cell Painting
metoclopramide	10 uM	5	I19	0.0675215619997677	0.011	Cell Painting
metolazone	10 uM	5	M13	0.0867367437946026	0	Cell Painting
metoprolol	10 uM	5	A13	0.0328206148371935	0.324	Cell Painting
mf-101	10 uM	5	H01	0.1006689339382907	0.008	Cell Painting
mianserin	10 uM	5	C07	0.3611889494783031	0	Cell Painting
mibampator	10 uM	2	N01	0.1970700826553285	0.02	Cell Painting
mibefradil	10 uM	5	I07	0.6326680183301048	0	Cell Painting
miconazole	10 uM	5	E19	0.2698766966360892	0	Cell Painting
midodrine	10 uM	5	O07	0.0778944632176031	0.003	Cell Painting
midostaurin	10 uM	5	I01	0.6947200866055268	0	Cell Painting
mifobate	10 uM	5	N13	0.0289684713360519	0.243	Cell Painting
miglitol	10 uM	5	E13	0.0501975466409476	0.049	Cell Painting
milacemide	10 uM	5	G19	0.0174994416134567	0.484	Cell Painting
milnacipran	10 uM	5	O07	0.0480614588607077	0.027	Cell Painting
