moa,moa_cpds_dose_1,moa_cpds_dose_2,moa_cpds_dose_3,moa_cpds_dose_4,moa_cpds_dose_5,moa_cpds_dose_6,moa_size
jak inhibitor,filgotinib;tofacitinib;ly2784544;ruxolitinib;baricitinib;azd1480;cyt387,filgotinib;tofacitinib;ly2784544;ruxolitinib;baricitinib;azd1480;cyt387,filgotinib;tofacitinib;ly2784544;ruxolitinib;baricitinib;azd1480;cyt387,filgotinib;tofacitinib;ly2784544;ruxolitinib;baricitinib;azd1480;cyt387,filgotinib;tofacitinib;ly2784544;ruxolitinib;baricitinib;azd1480;cyt387,filgotinib;tofacitinib;ly2784544;ruxolitinib;baricitinib;azd1480;cyt387,7
jnk inhibitor,cc-401;cc-930,cc-401;cc-930,cc-401;cc-930,cc-401;cc-930,cc-401;cc-930,cc-401;cc-930,2
leukotriene inhibitor,quiflapon;ubenimex,quiflapon;ubenimex,quiflapon;ubenimex,quiflapon;ubenimex,quiflapon;ubenimex,quiflapon;ubenimex,2
leukotriene receptor antagonist,sr-2640;zafirlukast;tomelukast;fpl-55712;pranlukast,sr-2640;zafirlukast;tomelukast;fpl-55712;pranlukast,sr-2640;zafirlukast;tomelukast;fpl-55712;pranlukast,sr-2640;zafirlukast;tomelukast;fpl-55712;pranlukast,sr-2640;zafirlukast;fpl-55712;pranlukast,sr-2640;zafirlukast;fpl-55712;pranlukast,5
lipase inhibitor,oxybenzone;orlistat,oxybenzone;orlistat,oxybenzone;orlistat,oxybenzone;orlistat,oxybenzone;orlistat,oxybenzone;orlistat,2
lipid peroxidase inhibitor,anisodamine;tetradecylthioacetic-acid,anisodamine;tetradecylthioacetic-acid,anisodamine;tetradecylthioacetic-acid,anisodamine;tetradecylthioacetic-acid,anisodamine;tetradecylthioacetic-acid,anisodamine;tetradecylthioacetic-acid,2
lipoxygenase inhibitor,am-24;diethylcarbamazine;masoprocol,am-24;diethylcarbamazine;masoprocol,am-24;diethylcarbamazine;masoprocol,am-24;diethylcarbamazine;masoprocol,am-24;diethylcarbamazine;masoprocol,am-24;diethylcarbamazine;masoprocol,3
matrix metalloprotease inhibitor,batimastat;marimastat;ilomastat,batimastat;marimastat;ilomastat,batimastat;marimastat;ilomastat,batimastat;marimastat;ilomastat,batimastat;marimastat;ilomastat,batimastat;marimastat;ilomastat,3
mdm inhibitor,nutlin-3;rg-7388;amg-232,nutlin-3;rg-7388;amg-232,nutlin-3;rg-7388;amg-232,nutlin-3;rg-7388;amg-232,nutlin-3;rg-7388;amg-232,nutlin-3;rg-7388;amg-232,3
mek inhibitor,as-703026;tak-733;pd-184352;cobimetinib;azd-8330;selumetinib;ro-4987655;refametinib;mek162,as-703026;tak-733;pd-184352;cobimetinib;azd-8330;selumetinib;ro-4987655;refametinib;mek162,as-703026;tak-733;pd-184352;cobimetinib;azd-8330;selumetinib;ro-4987655;refametinib;mek162,as-703026;tak-733;pd-184352;cobimetinib;azd-8330;selumetinib;ro-4987655;refametinib;mek162,as-703026;tak-733;pd-184352;cobimetinib;azd-8330;selumetinib;ro-4987655;refametinib;mek162,as-703026;tak-733;pd-184352;cobimetinib;azd-8330;selumetinib;ro-4987655;refametinib;mek162,9
membrane integrity inhibitor,miltefosine;tetracaine,miltefosine;tetracaine,miltefosine;tetracaine,miltefosine;tetracaine,miltefosine;tetracaine,miltefosine;tetracaine,2
membrane permeability inhibitor,exalamide;agp-103,exalamide;agp-103,exalamide;agp-103,exalamide;agp-103,exalamide;agp-103,exalamide;agp-103,2
microtubule inhibitor,cabazitaxel;colchicine;cytochalasin-b;triclabendazole,cabazitaxel;colchicine;cytochalasin-b;triclabendazole,cabazitaxel;colchicine;cytochalasin-b;triclabendazole,cabazitaxel;colchicine;cytochalasin-b;triclabendazole,cabazitaxel;colchicine;cytochalasin-b;triclabendazole,cabazitaxel;colchicine;triclabendazole,4
mineralocorticoid receptor antagonist,canrenoic-acid;drospirenone;spironolactone,canrenoic-acid;drospirenone;spironolactone,canrenoic-acid;drospirenone;spironolactone,canrenoic-acid;drospirenone;spironolactone,canrenoic-acid;drospirenone;spironolactone,canrenoic-acid;drospirenone;spironolactone,3
monoamine oxidase inhibitor,selegiline;moclobemide;rasagiline;tetrindole;milacemide;hymecromone,selegiline;moclobemide;rasagiline;tetrindole;milacemide;hymecromone,selegiline;moclobemide;rasagiline;tetrindole;milacemide;hymecromone,selegiline;moclobemide;rasagiline;tetrindole;milacemide;hymecromone,selegiline;moclobemide;rasagiline;tetrindole;milacemide;hymecromone,selegiline;moclobemide;rasagiline;tetrindole;milacemide;hymecromone,6
mtor inhibitor,deforolimus;torin-1;temsirolimus;salirasib;everolimus;mln0128;sirolimus;azd2014,deforolimus;torin-1;temsirolimus;salirasib;everolimus;mln0128;sirolimus;azd2014,deforolimus;torin-1;temsirolimus;salirasib;everolimus;mln0128;sirolimus;azd2014,deforolimus;torin-1;temsirolimus;salirasib;everolimus;mln0128;sirolimus;azd2014,deforolimus;torin-1;temsirolimus;salirasib;everolimus;mln0128;sirolimus;azd2014,deforolimus;torin-1;temsirolimus;salirasib;everolimus;mln0128;sirolimus;azd2014,8
mtor inhibitor|pi3k inhibitor,pki-179;nvp-bez235;gdc-0980;pi-103;pf-04691502;voxtalisib,pki-179;nvp-bez235;gdc-0980;pi-103;pf-04691502;voxtalisib,pki-179;nvp-bez235;gdc-0980;pi-103;pf-04691502;voxtalisib,pki-179;nvp-bez235;gdc-0980;pi-103;pf-04691502;voxtalisib,pki-179;nvp-bez235;gdc-0980;pi-103;pf-04691502;voxtalisib,pki-179;nvp-bez235;gdc-0980;pi-103;pf-04691502;voxtalisib,6
mucolytic agent,telmesteine;sorbitol;acetylcysteine,telmesteine;sorbitol;acetylcysteine,telmesteine;sorbitol;acetylcysteine,telmesteine;sorbitol;acetylcysteine,telmesteine;sorbitol;acetylcysteine,telmesteine;sorbitol;acetylcysteine,3
neprilysin inhibitor,kbg;sacubitril,kbg;sacubitril,kbg;sacubitril,kbg;sacubitril,kbg;sacubitril,kbg;sacubitril,2
neurotrophic agent,inosine;pym50028;nsi-189,inosine;pym50028;nsi-189,inosine;pym50028;nsi-189,inosine;pym50028;nsi-189,inosine;pym50028;nsi-189,inosine;nsi-189,3
nfkb pathway inhibitor,bindarit;erythromycin;sasapyrine;cepharanthine;gibberellic-acid,bindarit;erythromycin;sasapyrine;cepharanthine;gibberellic-acid,bindarit;erythromycin;sasapyrine;cepharanthine;gibberellic-acid,bindarit;erythromycin;sasapyrine;cepharanthine;gibberellic-acid,bindarit;erythromycin;sasapyrine;cepharanthine;gibberellic-acid,bindarit;erythromycin;sasapyrine;cepharanthine,5
nitric oxide donor,linsidomine;pa-824,linsidomine;pa-824,linsidomine;pa-824,linsidomine;pa-824,linsidomine;pa-824,linsidomine;pa-824,2
nitric oxide stimulant,l-citrulline;isosorbide,l-citrulline;isosorbide,l-citrulline;isosorbide,l-citrulline;isosorbide,l-citrulline;isosorbide,l-citrulline;isosorbide,2
nitric oxide synthase inhibitor,aminoguanidine;l-name;2-iminobiotin;asymmetrical-dimethylarginine;targinine,aminoguanidine;l-name;2-iminobiotin;asymmetrical-dimethylarginine;targinine,aminoguanidine;l-name;2-iminobiotin;asymmetrical-dimethylarginine;targinine,aminoguanidine;l-name;2-iminobiotin;asymmetrical-dimethylarginine;targinine,aminoguanidine;l-name;2-iminobiotin;asymmetrical-dimethylarginine;targinine,aminoguanidine;l-name;2-iminobiotin;asymmetrical-dimethylarginine;targinine,5
non-nucleoside reverse transcriptase inhibitor,dapivirine;rilpivirine;lersivirine;etravirine,dapivirine;rilpivirine;lersivirine;etravirine,dapivirine;rilpivirine;lersivirine;etravirine,dapivirine;rilpivirine;lersivirine;etravirine,dapivirine;rilpivirine;lersivirine;etravirine,dapivirine;rilpivirine;lersivirine;etravirine,4
norepinephrine reputake inhibitor|tricyclic antidepressant,trimipramine;maprotiline,trimipramine;maprotiline,trimipramine;maprotiline,trimipramine;maprotiline,trimipramine;maprotiline,trimipramine;maprotiline,2
nucleoside reverse transcriptase inhibitor,lamivudine;emtricitabine;zalcitabine;dideoxyadenosine,lamivudine;emtricitabine;zalcitabine;dideoxyadenosine,lamivudine;emtricitabine;zalcitabine;dideoxyadenosine,lamivudine;emtricitabine;zalcitabine;dideoxyadenosine,lamivudine;emtricitabine;zalcitabine;dideoxyadenosine,lamivudine;emtricitabine;zalcitabine;dideoxyadenosine,4
o6-alkylguanine-dna alkyltransferase inhibitor,lomeguatrib;o6-benzylguanine,lomeguatrib;o6-benzylguanine,lomeguatrib;o6-benzylguanine,lomeguatrib;o6-benzylguanine,lomeguatrib;o6-benzylguanine,lomeguatrib;o6-benzylguanine,2
opioid receptor agonist,salvinorin-a;meptazinol;loperamide;trimebutine,salvinorin-a;meptazinol;loperamide;trimebutine,salvinorin-a;meptazinol;loperamide;trimebutine,salvinorin-a;meptazinol;loperamide;trimebutine,salvinorin-a;meptazinol;loperamide;trimebutine,salvinorin-a;meptazinol;loperamide;trimebutine,4
opioid receptor agonist|opioid receptor antagonist,butorphanol-(+)-tartrate;nalbuphine,butorphanol-(+)-tartrate;nalbuphine,butorphanol-(+)-tartrate;nalbuphine,butorphanol-(+)-tartrate;nalbuphine,butorphanol-(+)-tartrate;nalbuphine,butorphanol-(+)-tartrate;nalbuphine,2
opioid receptor antagonist,chloroxine;jtc-801;methylnaltrexone;alvimopan,chloroxine;jtc-801;methylnaltrexone;alvimopan,chloroxine;jtc-801;methylnaltrexone;alvimopan,chloroxine;jtc-801;methylnaltrexone;alvimopan,chloroxine;jtc-801;methylnaltrexone;alvimopan,chloroxine;jtc-801;methylnaltrexone;alvimopan,4
orexin receptor antagonist,almorexant;suvorexant,almorexant;suvorexant,almorexant;suvorexant,almorexant;suvorexant,almorexant;suvorexant,almorexant;suvorexant,2
oxidative stress inducer,aminolevulinic-acid;elesclomol,aminolevulinic-acid;elesclomol,aminolevulinic-acid;elesclomol,aminolevulinic-acid;elesclomol,aminolevulinic-acid;elesclomol,aminolevulinic-acid;elesclomol,2
p38 mapk inhibitor,talmapimod;sb-242235;ly2228820;losmapimod;tak-715;doramapimod;ph-797804,talmapimod;sb-242235;ly2228820;losmapimod;tak-715;doramapimod;ph-797804,talmapimod;sb-242235;ly2228820;losmapimod;tak-715;doramapimod;ph-797804,talmapimod;sb-242235;ly2228820;losmapimod;tak-715;doramapimod;ph-797804,talmapimod;sb-242235;ly2228820;losmapimod;tak-715;doramapimod;ph-797804,talmapimod;sb-242235;ly2228820;losmapimod;tak-715;doramapimod;ph-797804,7
parp inhibitor,3-amino-benzamide;iniparib;veliparib;olaparib;talazoparib,3-amino-benzamide;iniparib;veliparib;olaparib;talazoparib,3-amino-benzamide;iniparib;veliparib;olaparib;talazoparib,3-amino-benzamide;iniparib;veliparib;olaparib;talazoparib,3-amino-benzamide;iniparib;veliparib;olaparib;talazoparib,3-amino-benzamide;iniparib;veliparib;olaparib;talazoparib,5
pdgfr tyrosine kinase receptor inhibitor|vegfr inhibitor,su014813;linifanib,su014813;linifanib,su014813;linifanib,su014813;linifanib,su014813;linifanib,su014813;linifanib,2
phosphodiesterase inhibitor,papaverine;zaprinast;arofylline;olprinone;lirimilast;enprofylline;rolipram;pf-02545920;theobromine;ym-976;vardenafil;isbufylline;roflumilast;zardaverine;gsk256066;cilomilast;pentoxifylline;dipyridamole;cilostazol;milrinone;siguazodan;emd-53998;anagrelide;etazolate;avanafil;piclamilast;pf-04447943;amrinone;mirodenafil;resorcinol;irsogladine;sildenafil;oglemilast;apremilast;tadalafil,papaverine;zaprinast;arofylline;olprinone;lirimilast;enprofylline;rolipram;pf-02545920;theobromine;ym-976;vardenafil;isbufylline;roflumilast;zardaverine;gsk256066;cilomilast;pentoxifylline;dipyridamole;cilostazol;milrinone;siguazodan;emd-53998;anagrelide;etazolate;avanafil;piclamilast;pf-04447943;amrinone;mirodenafil;resorcinol;irsogladine;sildenafil;oglemilast;apremilast;tadalafil,papaverine;zaprinast;arofylline;olprinone;lirimilast;enprofylline;rolipram;pf-02545920;theobromine;ym-976;vardenafil;isbufylline;roflumilast;zardaverine;gsk256066;cilomilast;pentoxifylline;dipyridamole;cilostazol;milrinone;siguazodan;emd-53998;anagrelide;etazolate;avanafil;piclamilast;pf-04447943;amrinone;mirodenafil;resorcinol;irsogladine;sildenafil;oglemilast;apremilast;tadalafil,papaverine;zaprinast;arofylline;olprinone;lirimilast;enprofylline;rolipram;pf-02545920;theobromine;ym-976;vardenafil;isbufylline;roflumilast;zardaverine;gsk256066;cilomilast;pentoxifylline;dipyridamole;cilostazol;milrinone;siguazodan;emd-53998;anagrelide;etazolate;avanafil;piclamilast;pf-04447943;amrinone;mirodenafil;resorcinol;irsogladine;sildenafil;oglemilast;apremilast;tadalafil,papaverine;zaprinast;arofylline;olprinone;lirimilast;enprofylline;rolipram;pf-02545920;theobromine;ym-976;vardenafil;isbufylline;roflumilast;zardaverine;gsk256066;cilomilast;pentoxifylline;dipyridamole;cilostazol;milrinone;siguazodan;emd-53998;anagrelide;etazolate;avanafil;piclamilast;pf-04447943;amrinone;mirodenafil;resorcinol;irsogladine;sildenafil;oglemilast;apremilast;tadalafil,papaverine;zaprinast;arofylline;olprinone;lirimilast;enprofylline;rolipram;pf-02545920;theobromine;ym-976;vardenafil;isbufylline;roflumilast;zardaverine;gsk256066;cilomilast;pentoxifylline;dipyridamole;cilostazol;milrinone;siguazodan;emd-53998;anagrelide;etazolate;avanafil;piclamilast;pf-04447943;amrinone;mirodenafil;resorcinol;irsogladine;sildenafil;oglemilast;apremilast;tadalafil,35
pi3k inhibitor,buparlisib;gdc-0941;idelalisib;as-605240;tg100-115;taselisib;gsk2636771;pilaralisib;xl-147,buparlisib;gdc-0941;idelalisib;as-605240;tg100-115;taselisib;gsk2636771;pilaralisib;xl-147,buparlisib;gdc-0941;idelalisib;as-605240;tg100-115;taselisib;gsk2636771;pilaralisib;xl-147,buparlisib;gdc-0941;idelalisib;as-605240;tg100-115;taselisib;gsk2636771;pilaralisib;xl-147,buparlisib;gdc-0941;idelalisib;as-605240;tg100-115;taselisib;gsk2636771;pilaralisib;xl-147,buparlisib;gdc-0941;idelalisib;as-605240;tg100-115;taselisib;gsk2636771;pilaralisib;xl-147,9
pim kinase inhibitor,azd1208;sgi-1776,azd1208;sgi-1776,azd1208;sgi-1776,azd1208;sgi-1776,azd1208;sgi-1776,azd1208;sgi-1776,2
pkc activator,phorbol-myristate-acetate;ingenol-mebutate,phorbol-myristate-acetate;ingenol-mebutate,phorbol-myristate-acetate;ingenol-mebutate,phorbol-myristate-acetate;ingenol-mebutate,phorbol-myristate-acetate;ingenol-mebutate,phorbol-myristate-acetate;ingenol-mebutate,2
pkc inhibitor,sotrastaurin;ethylenediaminetetraacetic-acid;enzastaurin;dequalinium;safingol,sotrastaurin;ethylenediaminetetraacetic-acid;enzastaurin;dequalinium;safingol,sotrastaurin;ethylenediaminetetraacetic-acid;enzastaurin;dequalinium;safingol,sotrastaurin;ethylenediaminetetraacetic-acid;enzastaurin;dequalinium;safingol,sotrastaurin;ethylenediaminetetraacetic-acid;enzastaurin;dequalinium,sotrastaurin;ethylenediaminetetraacetic-acid;enzastaurin;dequalinium,5
platelet activating factor receptor antagonist,pca-4248;apafant,pca-4248;apafant,pca-4248;apafant,pca-4248;apafant,pca-4248;apafant,pca-4248;apafant,2
plk inhibitor,bi-2536;nms-1286937;volasertib;gsk-461364,bi-2536;nms-1286937;volasertib;gsk-461364,bi-2536;nms-1286937;volasertib;gsk-461364,bi-2536;nms-1286937;volasertib;gsk-461364,bi-2536;nms-1286937;volasertib;gsk-461364,bi-2536;nms-1286937;volasertib;gsk-461364,4
potassium channel activator,y-27152;y-26763;diazoxide;retigabine;hexachlorophene;levcromakalim,y-27152;y-26763;diazoxide;retigabine;hexachlorophene;levcromakalim,y-27152;y-26763;diazoxide;retigabine;hexachlorophene;levcromakalim,y-27152;y-26763;diazoxide;retigabine;hexachlorophene;levcromakalim,y-27152;y-26763;diazoxide;retigabine;hexachlorophene;levcromakalim,y-27152;y-26763;diazoxide;retigabine;hexachlorophene;levcromakalim,6
potassium channel blocker,penitrem-a;amiodarone;vernakalant;dalfampridine;linopirdine;meglitinide;doxapram;ibutilide,penitrem-a;amiodarone;vernakalant;dalfampridine;linopirdine;meglitinide;doxapram;ibutilide,penitrem-a;amiodarone;vernakalant;dalfampridine;linopirdine;meglitinide;doxapram;ibutilide,penitrem-a;amiodarone;vernakalant;dalfampridine;linopirdine;meglitinide;doxapram;ibutilide,amiodarone;vernakalant;dalfampridine;linopirdine;meglitinide;doxapram;ibutilide,amiodarone;vernakalant;dalfampridine;linopirdine;meglitinide;doxapram;ibutilide,8
ppar receptor agonist,efatutazone;clofibrate;bezafibrate;clofibric-acid;ciglitazone,efatutazone;clofibrate;bezafibrate;clofibric-acid;ciglitazone,efatutazone;clofibrate;bezafibrate;clofibric-acid;ciglitazone,efatutazone;clofibrate;bezafibrate;clofibric-acid;ciglitazone,efatutazone;clofibrate;bezafibrate;clofibric-acid;ciglitazone,efatutazone;clofibrate;bezafibrate;clofibric-acid;ciglitazone,5
ppar receptor agonist|insulin sensitizer,troglitazone;pioglitazone;rosiglitazone,troglitazone;pioglitazone;rosiglitazone,troglitazone;pioglitazone;rosiglitazone,troglitazone;pioglitazone;rosiglitazone,troglitazone;pioglitazone;rosiglitazone,troglitazone;pioglitazone;rosiglitazone,3
progesterone receptor agonist,17-hydroxyprogesterone-caproate;norgestrel;norethisterone;medroxyprogesterone-acetate;dienogest;progesterone;tanaproget,17-hydroxyprogesterone-caproate;norgestrel;norethisterone;medroxyprogesterone-acetate;dienogest;progesterone;tanaproget,17-hydroxyprogesterone-caproate;norgestrel;norethisterone;medroxyprogesterone-acetate;dienogest;progesterone;tanaproget,17-hydroxyprogesterone-caproate;norgestrel;norethisterone;medroxyprogesterone-acetate;dienogest;progesterone;tanaproget,17-hydroxyprogesterone-caproate;norgestrel;norethisterone;medroxyprogesterone-acetate;dienogest;progesterone;tanaproget,17-hydroxyprogesterone-caproate;norgestrel;norethisterone;medroxyprogesterone-acetate;dienogest;progesterone;tanaproget,7
progesterone receptor antagonist,ulipristal;gestrinone,ulipristal;gestrinone,ulipristal;gestrinone,ulipristal;gestrinone,ulipristal;gestrinone,ulipristal;gestrinone,2
progestogen hormone,norethindrone;altrenogest,norethindrone;altrenogest,norethindrone;altrenogest,norethindrone;altrenogest,norethindrone;altrenogest,norethindrone;altrenogest,2
prostanoid receptor agonist,"travoprost;latanoprost;alprostadil;bimatoprost;16,16-dimethylprostaglandin-e2","travoprost;latanoprost;alprostadil;bimatoprost;16,16-dimethylprostaglandin-e2","travoprost;latanoprost;alprostadil;bimatoprost;16,16-dimethylprostaglandin-e2","travoprost;latanoprost;alprostadil;bimatoprost;16,16-dimethylprostaglandin-e2",travoprost;latanoprost;alprostadil;bimatoprost,travoprost;latanoprost;alprostadil;bimatoprost,5
prostanoid receptor antagonist,benzydamine;diflunisal;ramatroban;laropiprant,benzydamine;diflunisal;ramatroban;laropiprant,benzydamine;diflunisal;ramatroban;laropiprant,benzydamine;diflunisal;ramatroban;laropiprant,benzydamine;diflunisal;ramatroban;laropiprant,benzydamine;diflunisal;ramatroban;laropiprant,4
protein synthesis inhibitor,retapamulin;rifabutin;clofoctol;clindamycin;bruceantin;homoharringtonine,retapamulin;rifabutin;clofoctol;clindamycin;bruceantin;homoharringtonine,retapamulin;rifabutin;clofoctol;clindamycin;bruceantin;homoharringtonine,retapamulin;rifabutin;clofoctol;clindamycin;bruceantin;homoharringtonine,retapamulin;rifabutin;clofoctol;clindamycin;bruceantin;homoharringtonine,retapamulin;rifabutin;clofoctol;clindamycin;bruceantin;homoharringtonine,6
protein synthesis stimulant,nicotinamide;dehydroepiandrosterone;malotilate,nicotinamide;dehydroepiandrosterone;malotilate,nicotinamide;dehydroepiandrosterone;malotilate,nicotinamide;dehydroepiandrosterone;malotilate,nicotinamide;dehydroepiandrosterone;malotilate,nicotinamide;dehydroepiandrosterone;malotilate,3
protein tyrosine kinase inhibitor,mubritinib;av-412,mubritinib;av-412,mubritinib;av-412,mubritinib;av-412,mubritinib;av-412,mubritinib;av-412,2
purine antagonist,thioguanine;tioguanine,thioguanine;tioguanine,thioguanine;tioguanine,thioguanine;tioguanine,thioguanine;tioguanine,thioguanine;tioguanine,2
purinergic receptor antagonist,ticlopidine;nf-449;ticagrelor,ticlopidine;nf-449;ticagrelor,ticlopidine;nf-449;ticagrelor,ticlopidine;nf-449;ticagrelor,ticlopidine;nf-449;ticagrelor,ticlopidine;nf-449;ticagrelor,3
raf inhibitor,dabrafenib;cep-32496;az-628;mln2480;lgx818;vemurafenib,dabrafenib;cep-32496;az-628;mln2480;lgx818;vemurafenib,dabrafenib;cep-32496;az-628;mln2480;lgx818;vemurafenib,dabrafenib;cep-32496;az-628;mln2480;lgx818;vemurafenib,dabrafenib;cep-32496;az-628;mln2480;lgx818;vemurafenib,dabrafenib;cep-32496;az-628;mln2480;lgx818;vemurafenib,6
retinoid receptor agonist,tamibarotene;adapalene;adarotene;ttnpb;palovarotene;tazarotene;bexarotene,tamibarotene;adapalene;adarotene;ttnpb;palovarotene;tazarotene;bexarotene,tamibarotene;adapalene;adarotene;ttnpb;palovarotene;tazarotene;bexarotene,tamibarotene;adapalene;adarotene;ttnpb;palovarotene;tazarotene;bexarotene,tamibarotene;adapalene;adarotene;ttnpb;palovarotene;tazarotene;bexarotene,tamibarotene;adapalene;adarotene;ttnpb;palovarotene;tazarotene;bexarotene,7
reverse transcriptase inhibitor,nevirapine;zidovudine;abacavir,nevirapine;zidovudine;abacavir,nevirapine;zidovudine;abacavir,nevirapine;zidovudine;abacavir,nevirapine;zidovudine;abacavir,nevirapine;zidovudine;abacavir,3
rho associated kinase inhibitor,y-39983;y-27632;rho-kinase-inhibitor-iii[rockout];ripasudil;fasudil;kd025,y-39983;y-27632;rho-kinase-inhibitor-iii[rockout];ripasudil;fasudil;kd025,y-39983;y-27632;rho-kinase-inhibitor-iii[rockout];ripasudil;fasudil;kd025,y-39983;y-27632;rho-kinase-inhibitor-iii[rockout];ripasudil;fasudil;kd025,y-39983;y-27632;rho-kinase-inhibitor-iii[rockout];ripasudil;fasudil;kd025,y-39983;y-27632;rho-kinase-inhibitor-iii[rockout];ripasudil;fasudil;kd025,6
ribonucleoside reductase inhibitor,clofarabine;hydroxyurea,clofarabine;hydroxyurea,clofarabine;hydroxyurea,clofarabine;hydroxyurea,clofarabine;hydroxyurea,clofarabine;hydroxyurea,2
ribonucleotide reductase inhibitor,cytarabine;gemcitabine,cytarabine;gemcitabine,cytarabine;gemcitabine,cytarabine;gemcitabine,cytarabine;gemcitabine,cytarabine;gemcitabine,2
rna polymerase inhibitor,cx-5461;favipiravir;sofosbuvir;psi-6130;fidaxomicin;balapiravir;triptolide;nesbuvir,cx-5461;favipiravir;sofosbuvir;psi-6130;fidaxomicin;balapiravir;triptolide;nesbuvir,cx-5461;favipiravir;sofosbuvir;psi-6130;fidaxomicin;balapiravir;triptolide;nesbuvir,cx-5461;favipiravir;sofosbuvir;psi-6130;fidaxomicin;balapiravir;triptolide;nesbuvir,cx-5461;favipiravir;sofosbuvir;psi-6130;fidaxomicin;balapiravir;triptolide;nesbuvir,cx-5461;favipiravir;sofosbuvir;psi-6130;fidaxomicin;balapiravir;triptolide;nesbuvir,8
rna synthesis inhibitor,aphidicolin;rifaximin,aphidicolin;rifaximin,aphidicolin;rifaximin,aphidicolin;rifaximin,aphidicolin;rifaximin,aphidicolin;rifaximin,2
selective serotonin reuptake inhibitor (ssri),fluoxetine;paroxetine;fluvoxamine;escitalopram,fluoxetine;paroxetine;fluvoxamine;escitalopram,fluoxetine;paroxetine;fluvoxamine;escitalopram,fluoxetine;paroxetine;fluvoxamine;escitalopram,fluoxetine;paroxetine;fluvoxamine;escitalopram,fluoxetine;paroxetine;fluvoxamine;escitalopram,4
serotonin receptor agonist,rotundine;sr-57227a;donitriptan;cisapride;dexfenfluramine;lorcaserin;sumatriptan;dihydroergotamine;rizatriptan;mcpp;xaliproden;buspirone,rotundine;sr-57227a;donitriptan;cisapride;dexfenfluramine;lorcaserin;sumatriptan;dihydroergotamine;rizatriptan;mcpp;xaliproden;buspirone,rotundine;sr-57227a;donitriptan;cisapride;dexfenfluramine;lorcaserin;sumatriptan;dihydroergotamine;rizatriptan;mcpp;xaliproden;buspirone,rotundine;sr-57227a;donitriptan;cisapride;dexfenfluramine;lorcaserin;sumatriptan;dihydroergotamine;rizatriptan;mcpp;xaliproden;buspirone,rotundine;sr-57227a;donitriptan;cisapride;dexfenfluramine;lorcaserin;sumatriptan;dihydroergotamine;rizatriptan;mcpp;xaliproden;buspirone,rotundine;sr-57227a;donitriptan;cisapride;dexfenfluramine;lorcaserin;sumatriptan;dihydroergotamine;rizatriptan;mcpp;xaliproden;buspirone,12
serotonin receptor agonist|serotonin receptor antagonist,vortioxetine;adatanserin;aripiprazole,vortioxetine;adatanserin;aripiprazole,vortioxetine;adatanserin;aripiprazole,vortioxetine;adatanserin;aripiprazole,vortioxetine;adatanserin;aripiprazole,vortioxetine;adatanserin;aripiprazole,3
serotonin receptor antagonist,prx-08066;mianserin;ondansetron;granisetron;palonosetron;dolasetron;alaproclate;altanserin;mdl-73005ef;lerisetron;ketanserin;sb-271046;sertraline;idalopirdine;rs-127445,prx-08066;mianserin;ondansetron;granisetron;palonosetron;dolasetron;alaproclate;altanserin;mdl-73005ef;lerisetron;ketanserin;sb-271046;sertraline;idalopirdine;rs-127445,prx-08066;mianserin;ondansetron;granisetron;palonosetron;dolasetron;alaproclate;altanserin;mdl-73005ef;lerisetron;ketanserin;sb-271046;sertraline;idalopirdine;rs-127445,prx-08066;mianserin;ondansetron;granisetron;palonosetron;dolasetron;alaproclate;altanserin;mdl-73005ef;lerisetron;ketanserin;sb-271046;sertraline;idalopirdine;rs-127445,prx-08066;mianserin;ondansetron;granisetron;palonosetron;dolasetron;alaproclate;altanserin;mdl-73005ef;lerisetron;ketanserin;sb-271046;sertraline;idalopirdine;rs-127445,prx-08066;mianserin;ondansetron;granisetron;palonosetron;dolasetron;alaproclate;altanserin;mdl-73005ef;lerisetron;ketanserin;sb-271046;sertraline;idalopirdine;rs-127445,15
serotonin reuptake inhibitor,milnacipran;minaprine;vilazodone;citalopram;desvenlafaxine,milnacipran;minaprine;vilazodone;citalopram;desvenlafaxine,milnacipran;minaprine;vilazodone;citalopram;desvenlafaxine,milnacipran;minaprine;vilazodone;citalopram;desvenlafaxine,milnacipran;minaprine;vilazodone;citalopram;desvenlafaxine,milnacipran;minaprine;vilazodone;citalopram;desvenlafaxine,5
serotonin transporter (sert) inhibitor,clomipramine;amitifadine,clomipramine;amitifadine,clomipramine;amitifadine,clomipramine;amitifadine,clomipramine;amitifadine,clomipramine;amitifadine,2
sigma receptor agonist,sk&f-10047-(+);cutamesine,sk&f-10047-(+);cutamesine,sk&f-10047-(+);cutamesine,sk&f-10047-(+);cutamesine,sk&f-10047-(+);cutamesine,sk&f-10047-(+);cutamesine,2
sigma receptor antagonist,siramesine;api-001;bmy-14802;rimcazole,siramesine;api-001;bmy-14802;rimcazole,siramesine;api-001;bmy-14802;rimcazole,siramesine;api-001;bmy-14802;rimcazole,siramesine;api-001;bmy-14802;rimcazole,siramesine;api-001;bmy-14802;rimcazole,4
