Metadata_broad_sample,broad_id,pert_iname,moa
BRD-K28456624-001-01-1,BRD-K28456624,seocalcitol,Vitamin D receptor agonist
BRD-K28470988-001-02-0,BRD-K28470988,L-690330,Inositol monophosphatase inhibitor
BRD-K28542495-003-13-5,BRD-K28542495,benzydamine,Prostanoid receptor antagonist
BRD-K28667793-001-28-1,BRD-K28667793,pyrazinamide,Fatty acid synthase inhibitor
BRD-K28731095-001-01-7,BRD-K28731095,calcitriol,Vitamin D receptor agonist
BRD-K28761891-001-10-1,BRD-K28761891,ramelteon,Melatonin receptor agonist
BRD-K28822270-001-01-1,BRD-K28822270,resminostat,HDAC inhibitor
BRD-K28912512-001-23-2,BRD-K28912512,nicotinamide,Protein synthesis stimulant
BRD-K28936863-051-33-0,BRD-K28936863,ketotifen,Histamine receptor agonist|Leukotriene receptor antagonist|Phosphodiesterase inhibitor|Histamine receptor ligand
BRD-K28965160-001-01-1,BRD-K28965160,bvd-523,MAP kinase inhibitor
BRD-K28971625-003-01-4,BRD-K28971625,zd-7114,adrenergic receptor agonist
BRD-K28984613-001-01-5,BRD-K28984613,dutasteride,5 alpha reductase inhibitor
BRD-K29133151-001-03-2,BRD-K29133151,"ici-185,282",thromboxane receptor antagonist
BRD-K29322660-001-01-9,BRD-K29322660,edoxaban,Coagulation factor inhibitor
BRD-K29359156-001-30-1,BRD-K29359156,ebselen,Cyclooxygenase inhibitor|Glutathione peroxidase agonist|H+/K+-ATPase inhibitor|Nitric oxide synthase inhibitor
BRD-K29458283-001-29-9,BRD-K29458283,chlorambucil,DNA inhibitor
BRD-K29530284-001-06-2,BRD-K29530284,amlexanox,Histamine receptor modulator
BRD-K29582115-066-01-2,BRD-K29582115,ziprasidone,Dopamine receptor antagonist|Serotonin receptor antagonist
BRD-K29653726-001-13-4,BRD-K29653726,topiramate,Carbonic anhydrase inhibitor|Glutamate receptor antagonist|Kainate receptor antagonist
BRD-K29656036-001-02-5,BRD-K29656036,mk-8245,stearoyl-CoA desaturase inhibitor
BRD-K29673530-001-05-4,BRD-K29673530,hypericin,Tyrosine kinase inhibitor
BRD-K29735307-001-02-9,BRD-K29735307,ostarine,Androgen receptor modulator
BRD-K29950728-048-17-4,BRD-K29950728,clomifene,Estrogen receptor antagonist
BRD-K29968218-001-03-2,BRD-K29968218,kx2-391,SRC inhibitor|tubulin polymerization inhibitor
BRD-K30020243-051-02-5,BRD-K30020243,aliskiren,Antihypertensive agent|Renin inhibitor|Peptidase inhibitor|Protease inhibitor
BRD-K30126819-304-02-7,BRD-K30126819,dimesna,Tubulin inhibitor
BRD-K30331124-001-01-7,BRD-K30331124,asc-j9,androgen receptor enhancer
BRD-K30421593-050-04-9,BRD-K30421593,timolol,Adrenergic receptor antagonist
BRD-K30466858-001-09-6,BRD-K30466858,ellagic-acid,Glutathione transferase inhibitor|Reverse transcriptase inhibitor|Aldose reductase inhibitor|Beta-secretase inhibitor|HCV inhibitor|HIV integrase inhibitor|Quorum sensing signaling modulator
BRD-K30480208-001-18-5,BRD-K30480208,torasemide,Electrolyte reabsorption inhibitor|Thromboxane receptor antagonist
BRD-K30550578-001-01-3,BRD-K30550578,pf-04620110,diacylglycerol O acyltransferase inhibitor
BRD-K30563334-001-02-9,BRD-K30563334,rifabutin,Protein synthesis inhibitor
BRD-K30685142-001-15-4,BRD-K30685142,levothyroxine,Thyroid hormone stimulant
BRD-K31092604-003-03-5,BRD-K31092604,donitriptan,Serotonin receptor agonist
BRD-K31111078-001-04-2,BRD-K31111078,dimethyl-fumarate,"Nuclear factor erythroid derived, like (NRF2) activator|Kelch-like ECH-associated protein ligand|NFkB pathway inhibitor"
BRD-K31135544-001-07-0,BRD-K31135544,ib-meca,adenosine receptor agonist
BRD-K31309378-001-01-5,BRD-K31309378,lucitanib,FGFR inhibitor|VEGFR inhibitor
BRD-K31342827-001-08-8,BRD-K31342827,bisindolylmaleimide,CDK inhibitor|PKC inhibitor
BRD-K31385749-003-01-3,BRD-K31385749,ivabradine,HCN channel antagonist|Potassium channel blocker|Sodium channel blocker
BRD-K31447894-236-01-0,BRD-K31447894,pravastatin,HMGCR inhibitor
BRD-K31476763-001-01-5,BRD-K31476763,azd9668,Elastase inhibitor
BRD-K31495718-001-01-1,BRD-K31495718,azd7687,Diacylglycerol O acyltransferase inhibitor
BRD-K31519811-001-02-2,BRD-K31519811,pf-02545920,phosphodiesterase inhibitor
BRD-K31627533-001-09-5,BRD-K31627533,rimexolone,Glucocorticoid receptor agonist
BRD-K31731454-237-02-5,BRD-K31731454,pemirolast,Mediator release inhibitor
BRD-K31812033-003-11-0,BRD-K31812033,levobunolol,Adrenergic receptor antagonist
BRD-K31841515-001-07-8,BRD-K31841515,oxypurinol,Xanthine oxidase inhibitor
BRD-K32101625-001-01-6,BRD-K32101625,lx1031,Tryptophan hydroxylase inhibitor
BRD-K32107296-001-16-9,BRD-K32107296,temozolomide,DNA alkylating drug
BRD-K32164935-001-30-8,BRD-K32164935,tolazamide,ATP channel blocker
BRD-K32218650-001-01-6,BRD-K32218650,mbx-2982,glucose dependent insulinotropic receptor agonist
BRD-K32247306-001-29-4,BRD-K32247306,primidone,GABA receptor antagonist
BRD-K32285926-001-02-1,BRD-K32285926,amg-208,tyrosine kinase inhibitor
BRD-K32405725-001-02-8,BRD-K32405725,etomoxir,Carnitine palmitoyltransferase inhibitor
BRD-K32501161-300-06-2,BRD-K32501161,vanoxerine,Dopamine uptake inhibitor
BRD-K32744045-001-31-2,BRD-K32744045,disulfiram,Aldehyde dehydrogenase inhibitor|DNA methyltransferase inhibitor|TRPV agonist
BRD-K32821942-001-21-3,BRD-K32821942,azathioprine,Dehydrogenase inhibitor
BRD-K32977963-001-05-0,BRD-K32977963,eugenol,Androgen receptor antagonist
BRD-K33106058-001-16-8,BRD-K33106058,cytarabine,Ribonucleotide reductase inhibitor
BRD-K33127281-001-05-6,BRD-K33127281,adapalene,Retinoid receptor agonist
BRD-K33141550-003-05-7,BRD-K33141550,l-name,nitric oxide synthase inhibitor
BRD-K33211335-004-01-7,BRD-K33211335,dextromethorphan,Glutamate receptor antagonist|Sigma receptor agonist
BRD-K33226500-001-01-0,BRD-K33226500,indinavir,HIV protease inhibitor
BRD-K33379087-001-07-5,BRD-K33379087,tivantinib,Tyrosine kinase inhibitor
BRD-K33453211-003-11-5,BRD-K33453211,levocabastine,Histamine receptor antagonist
BRD-K33483813-001-10-0,BRD-K33483813,actarit,Interleukin receptor agonist
BRD-K33610132-001-02-9,BRD-K33610132,rociletinib,EGFR inhibitor
BRD-K33732501-004-01-0,BRD-K33732501,methylnaltrexone,Opioid receptor antagonist
BRD-K33852358-001-09-9,BRD-K33852358,arofylline,Phosphodiesterase inhibitor
BRD-K33882852-003-02-8,BRD-K33882852,ZK-93423,Benzodiazepine receptor agonist
BRD-K34022604-001-06-6,BRD-K34022604,clofarabine,Ribonucleoside reductase inhibitor
BRD-K34154330-003-06-4,BRD-K34154330,tracazolate,GABA receptor modulator
BRD-K34157611-001-16-0,BRD-K34157611,cimetidine,Histamine receptor antagonist
BRD-K34185671-001-02-8,BRD-K34185671,amg-517,TRPV antagonist
BRD-K34313798-001-01-6,BRD-K34313798,ly215490,Glutamate receptor antagonist
BRD-K34328244-001-01-4,BRD-K34328244,mf-101,estrogen receptor agonist
BRD-K34341643-001-01-4,BRD-K34341643,glasdegib,Hedgehog pathway inhibitor
BRD-K34469523-003-03-0,BRD-K34469523,levalbuterol,Adrenergic receptor agonist
BRD-K34713073-001-01-3,BRD-K34713073,pd123319,Angiotensin antagonist
BRD-K34776109-001-16-6,BRD-K34776109,glimepiride,Insulin secretagogue
BRD-K34870043-001-01-8,BRD-K34870043,adoprazine,Dopamine receptor antagonist|Serotonin receptor agonist
BRD-K34888156-213-01-4,BRD-K34888156,theobromine,Phosphodiesterase inhibitor
BRD-K35169477-001-01-9,BRD-K35169477,taranabant,Cannabinoid receptor inverse agonist
BRD-K35189033-001-26-1,BRD-K35189033,levonorgestrel,Estrogen receptor agonist|Glucocorticoid receptor antagonist|Progesterone receptor agonist|Progesterone receptor antagonist
BRD-K35245662-001-01-2,BRD-K35245662,ciclesonide,Glucocorticoid receptor agonist
BRD-K35520305-001-17-7,BRD-K35520305,dacarbazine,DNA alkylating agent
BRD-K35586044-003-15-4,BRD-K35586044,yohimbine,Adrenergic receptor antagonist
BRD-K35589454-003-01-1,BRD-K35589454,danegaptide,Gap junction modulator
BRD-K35629949-001-02-0,BRD-K35629949,SR-27897,CCK receptor antagonist
BRD-K35687421-001-02-5,BRD-K35687421,gimeracil,Dihydropyrimidine dehydrogenase inhibitor
BRD-K35719256-001-02-6,BRD-K35719256,rotundine,Serotonin receptor agonist
BRD-K35775715-001-03-1,BRD-K35775715,liranaftate,Fungal squalene epoxidase inhibitor
BRD-K36280065-048-01-2,BRD-K36280065,tofacitinib,JAK inhibitor
BRD-K36324071-363-01-3,BRD-K36324071,NF-449,Purinergic receptor antagonist
BRD-K36386086-001-01-1,BRD-K36386086,dolutegravir,HIV integrase inhibitor
BRD-K36467523-001-02-8,BRD-K36467523,bindarit,NFkB pathway inhibitor
BRD-K36627727-001-05-4,BRD-K36627727,tamibarotene,Retinoid receptor agonist
BRD-K36680103-001-01-6,BRD-K36680103,omecamtiv-mecarbil,Cardiac myosin activator|Unidentified pharmacological activity
BRD-K36732695-001-01-9,BRD-K36732695,setiptiline,Adrenergic receptor antagonist
BRD-K37289225-001-36-4,BRD-K37289225,clozapine,Serotonin receptor antagonist|Dopamine receptor antagonist
BRD-K37355418-236-01-6,BRD-K37355418,efaproxiral,Haemoglobin oxygen release stimulant
BRD-K37385792-003-02-1,BRD-K37385792,conivaptan,Vasopressin receptor antagonist
BRD-K37561857-001-15-5,BRD-K37561857,zardaverine,Phosphodiesterase inhibitor
BRD-K37590257-001-02-8,BRD-K37590257,gsk256066,Phosphodiesterase inhibitor
BRD-K37687095-001-06-9,BRD-K37687095,AZD-8330,MEK inhibitor
BRD-K37694030-003-12-7,BRD-K37694030,doxepin,Histamine receptor antagonist
BRD-K37714784-305-02-1,BRD-K37714784,abt-724,dopamine receptor agonist
BRD-K37764012-001-04-1,BRD-K37764012,pf-03758309,p21 activated kinase inhibitor
BRD-K37846922-001-09-4,BRD-K37846922,"3,3'-diindolylmethane","CHK inhibitor|Cytochrome P450 activator|Indoleamine 2,3-dioxygenase inhibitor"
BRD-K37872686-003-01-9,BRD-K37872686,tirofiban,Platelet aggregation inhibitor|Structural glycoprotein antagonist
BRD-K37890730-001-15-1,BRD-K37890730,camptothecin,Topoisomerase inhibitor
BRD-K37991163-003-13-4,BRD-K37991163,paroxetine,Selective serotonin reuptake inhibitor (SSRI)
BRD-K38183498-001-02-0,BRD-K38183498,clonazepam,GABA benzodiazepine site receptor agonist
BRD-K38197229-001-29-9,BRD-K38197229,bumetanide,Solute carrier family member inhibitor
BRD-K38287497-001-01-2,BRD-K38287497,narlaprevir,HCV inhibitor
BRD-K38436528-003-26-1,BRD-K38436528,imipramine,Norepinephrine reputake inhibitor|Serotonin reuptake inhibitor
BRD-K38473998-001-02-0,BRD-K38473998,cilomilast,Phosphodiesterase inhibitor
BRD-K38744518-001-01-7,BRD-K38744518,betulinic-acid,Apoptosis stimulant|Caspase activator|Diacylglycerol O acyltransferase inhibitor|HIV integrase inhibitor|NFkB pathway activator|SARS coronavirus 3C-like protease inhibitor|Topoisomerase inhibitor
BRD-K38868394-001-01-3,BRD-K38868394,mk-0773,androgen receptor modulator
BRD-K39252998-003-01-5,BRD-K39252998,atipamezole,Adrenergic receptor antagonist
BRD-K39339537-001-21-0,BRD-K39339537,epirizole,Cyclooxygenase inhibitor
BRD-K39503511-001-03-9,BRD-K39503511,quiflapon,Leukotriene inhibitor
BRD-K39974922-001-04-3,BRD-K39974922,lenvatinib,FGFR inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor
BRD-K40227168-001-12-9,BRD-K40227168,vinburnine,Adrenergic receptor antagonist
BRD-K40738845-001-05-0,BRD-K40738845,BMS-777607,AXL kinase inhibitor|C-Met inhibitor|FLT3 inhibitor|Hepatocyte growth factor receptor inhibitor|Macrophage inhibitor|Tyrosine kinase inhibitor
BRD-K40758068-001-08-2,BRD-K40758068,efavirenz,HIV protease inhibitor
BRD-K40797222-001-01-8,BRD-K40797222,sc-12267,dihydroorotate dehydrogenase inhibitor
BRD-K40870905-001-01-7,BRD-K40870905,ct-7758,integrin antagonist
BRD-K41160163-001-06-8,BRD-K41160163,fenobam,Glutamate receptor antagonist
BRD-K41170226-001-13-8,BRD-K41170226,deoxycholic-acid,G protein coupled receptor agonist|Unidentified pharmacological activity|Biliverdin reductase A activator|G protein-coupled receptor agonist
BRD-K41185545-001-02-3,BRD-K41185545,ambrisentan,Endothelin receptor antagonist
BRD-K41213548-001-02-0,BRD-K41213548,kw-2478,HSP inhibitor
BRD-K41260949-236-16-8,BRD-K41260949,valproic-acid,HDAC inhibitor
BRD-K41410256-304-02-2,BRD-K41410256,balsalazide,Cyclooxygenase inhibitor
BRD-K41434598-003-01-9,BRD-K41434598,org-9768,Adrenergic receptor antagonist
BRD-K41524689-001-23-5,BRD-K41524689,paracetamol,Cyclooxygenase inhibitor
BRD-K41599323-001-02-3,BRD-K41599323,lonafarnib,Farnesyltransferase inhibitor
BRD-K41708980-001-01-6,BRD-K41708980,triamcinolone-acetonide,Immunosuppressant|Corticosteroid agonist|Glucocorticoid receptor agonist
BRD-K41731458-001-15-1,BRD-K41731458,triclosan,Enoyl-[acyl-carrier-protein] reductase [NADH] inhibitor
BRD-K41783120-001-02-8,BRD-K41783120,sta-5326,interleukin synthesis inhibitor
BRD-K41895714-001-01-4,BRD-K41895714,AS-605240,PI3K inhibitor
BRD-K41996876-001-06-3,BRD-K41996876,tyrphostin-1,EGFR inhibitor
BRD-K42098891-003-20-5,BRD-K42098891,protriptyline,Tricyclic antidepressant
BRD-K42348709-003-13-1,BRD-K42348709,cyclobenzaprine,Adrenergic receptor agonist|Serotonin receptor agonist
BRD-K42352790-001-05-3,BRD-K42352790,anandamide,Cannabinoid receptor agonist
BRD-K42417338-045-01-9,BRD-K42417338,butorphanol-(+)-tartrate,Opioid receptor agonist|Opioid receptor antagonist
BRD-K42495768-001-01-7,BRD-K42495768,tasisulam,Apoptosis stimulant
BRD-K42679050-001-02-1,BRD-K42679050,Y-27152,Potassium channel activator
BRD-K42948882-305-01-1,BRD-K42948882,amd11070,CC chemokine receptor antagonist
BRD-K42981054-001-01-9,BRD-K42981054,mibampator,Glutamate receptor modulator
BRD-K43002771-034-01-6,BRD-K43002771,sr-33805,calcium channel blocker
BRD-K43164539-001-11-5,BRD-K43164539,cholic-acid,Bile acid
BRD-K43410529-001-02-3,BRD-K43410529,mln2480,RAF inhibitor
BRD-K43457670-001-27-8,BRD-K43457670,acetazolamide,Carbonic anhydrase inhibitor
BRD-K43578482-001-01-4,BRD-K43578482,defactinib,Focal adhesion kinase inhibitor
BRD-K43887077-003-26-3,BRD-K43887077,dopamine,Dopamine receptor agonist
BRD-K43966364-237-04-8,BRD-K43966364,penicillin-v-potassium,Bacterial cell wall synthesis inhibitor
BRD-K44273375-001-25-0,BRD-K44273375,tolnaftate,Fungal squalene epoxidase inhibitor
BRD-K44309363-003-02-1,BRD-K44309363,dexniguldipine,Calmodulin antagonist
BRD-K44353683-001-08-3,BRD-K44353683,nateglinide,Insulin secretagogue
BRD-K44771174-066-01-0,BRD-K44771174,ibutamoren,Growth hormone secretagogue receptor agonist
BRD-K44827188-001-06-0,BRD-K44827188,vismodegib,Hedgehog pathway inhibitor|Smoothened receptor antagonist
BRD-K44844162-001-01-6,BRD-K44844162,taselisib,PI3K inhibitor
BRD-K44876623-001-03-7,BRD-K44876623,zolpidem,Benzodiazepine receptor agonist
BRD-K44942188-001-09-1,BRD-K44942188,fomocaine,Voltage-gated sodium channel modulator
BRD-K44974079-001-01-3,BRD-K44974079,ticagrelor,Purinergic receptor antagonist
BRD-K45033733-001-12-2,BRD-K45033733,famciclovir,DNA polymerase inhibitor
BRD-K45071273-003-25-6,BRD-K45071273,tetracaine,Membrane integrity inhibitor
BRD-K45117373-001-02-9,BRD-K45117373,Y-26763,Potassium channel activator
BRD-K45152786-001-08-4,BRD-K45152786,merbarone,Topoisomerase inhibitor
BRD-K45158365-001-11-4,BRD-K45158365,valsartan,Angiotensin receptor antagonist
BRD-K45168550-001-01-9,BRD-K45168550,sb-756050,G protein-coupled receptor agonist
BRD-K45245728-335-01-4,BRD-K45245728,ursodeoxycholyltaurine,Cholesterol inhibitor
BRD-K45252063-001-13-6,BRD-K45252063,clofibrate,PPAR receptor agonist
BRD-K45275534-001-01-3,BRD-K45275534,betrixaban,Coagulation inhibitor
BRD-K45330754-001-21-7,BRD-K45330754,diethylstilbestrol,Estrogen receptor agonist
BRD-K45503887-001-01-1,BRD-K45503887,delivert,Angiotensin receptor agonist
BRD-K45542189-048-22-1,BRD-K45542189,diethylcarbamazine,Lipoxygenase inhibitor
BRD-K45746021-003-01-9,BRD-K45746021,cc-401,JNK inhibitor
BRD-K45875383-001-01-2,BRD-K45875383,xbd173,Benzodiazepine receptor ligand
BRD-K45924332-001-16-8,BRD-K45924332,amrinone,Phosphodiesterase inhibitor
BRD-K46018455-001-27-6,BRD-K46018455,bezafibrate,PPAR receptor agonist
BRD-K46133855-304-03-8,BRD-K46133855,nxy-059,free radical scavenger
BRD-K46290096-001-01-1,BRD-K46290096,preladenant,Adenosine receptor antagonist
BRD-K46386702-001-02-1,BRD-K46386702,arry-334543,EGFR inhibitor
BRD-K46424862-001-14-1,BRD-K46424862,hymecromone,Monoamine oxidase inhibitor
BRD-K46604138-001-01-3,BRD-K46604138,dapagliflozin,Sodium/glucose cotransporter inhibitor
BRD-K46654563-238-01-0,BRD-K46654563,zofenopril-calcium,Angiotensin converting enzyme inhibitor
BRD-K46692793-004-01-8,BRD-K46692793,umeclidinium,Acetylcholine receptor antagonist
BRD-K46839850-050-04-2,BRD-K46839850,cinepazide,Calcium channel activator
BRD-K46937689-001-15-0,BRD-K46937689,phenazone,Cyclooxygenase inhibitor
BRD-K46970505-003-01-9,BRD-K46970505,cefozopran,Bacterial cell wall synthesis inhibitor
BRD-K47000838-001-01-6,BRD-K47000838,cytochalasin-b,Microtubule inhibitor
BRD-K47095176-001-01-6,BRD-K47095176,talnetant,Tachykinin antagonist
BRD-K47554101-001-01-2,BRD-K47554101,eperezolid,Bacterial 30S ribosomal subunit inhibitor
BRD-K47639036-003-06-6,BRD-K47639036,flavoxate,Acetylcholine receptor antagonist
BRD-K47642186-001-01-3,BRD-K47642186,piclamilast,Phosphodiesterase inhibitor
BRD-K47780086-001-07-9,BRD-K47780086,penciclovir,DNA directed DNA polymerase inhibitor
BRD-K47869605-001-32-0,BRD-K47869605,podophyllotoxin,Microtubule inhibitor|Tubulin inhibitor
BRD-K47936004-003-11-4,BRD-K47936004,piribedil,Dopamine receptor agonist
BRD-K47976015-001-01-2,BRD-K47976015,balapiravir,RNA polymerase inhibitor
BRD-K48068743-001-01-6,BRD-K48068743,teneligliptin,Dipeptidyl peptidase inhibitor
BRD-K48195801-001-01-6,BRD-K48195801,tecastemizole,Histamine receptor antagonist
BRD-K48213016-001-01-8,BRD-K48213016,cc-930,JNK inhibitor
BRD-K48300629-001-14-5,BRD-K48300629,zonisamide,Sodium channel blocker|T-type calcium channel blocker
BRD-K48367671-001-05-9,BRD-K48367671,febuxostat,Xanthine oxidase inhibitor
BRD-K48461310-234-01-3,BRD-K48461310,fosfomycin,Bacterial cell wall synthesis inhibitor
BRD-K48578705-001-16-8,BRD-K48578705,methyldopa,Adrenergic receptor agonist
BRD-K48722258-300-10-2,BRD-K48722258,dilazep,Adenosine reuptake inhibitor
BRD-K48812570-001-02-3,BRD-K48812570,macitentan,Endothelin receptor antagonist
BRD-K48892307-001-04-1,BRD-K48892307,sasapyrine,NFkB pathway inhibitor
BRD-K48894757-001-01-8,BRD-K48894757,laropiprant,Prostanoid receptor antagonist
BRD-K49075727-001-08-5,BRD-K49075727,nintedanib,FGFR inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor
BRD-K49111258-003-29-7,BRD-K49111258,prazosin,Adrenergic receptor antagonist
BRD-K49215523-001-04-2,BRD-K49215523,gsk2636771,PI3K inhibitor
BRD-K49328571-001-15-0,BRD-K49328571,dasatinib,KIT inhibitor|Src inhibitor|Bcr-Abl kinase inhibitor|Ephrin inhibitor|PDGFR tyrosine kinase receptor inhibitor|Tyrosine kinase inhibitor
BRD-K49350383-001-13-7,BRD-K49350383,thioguanine,Purine antagonist
BRD-K49404994-001-10-9,BRD-K49404994,levetiracetam,Calcium channel blocker
BRD-K49456274-001-01-9,BRD-K49456274,pilaralisib,PI3K inhibitor
BRD-K49504902-001-01-6,BRD-K49504902,sep-227900,D-amino acid oxidase Inhibitor
BRD-K49555808-001-03-9,BRD-K49555808,bms-707035,HIV integrase inhibitor
BRD-K49671696-045-08-5,BRD-K49671696,ketanserin,Serotonin receptor antagonist
BRD-K49685476-001-15-9,BRD-K49685476,TTNPB,Retinoid receptor agonist
BRD-K49807096-003-15-5,BRD-K49807096,benazepril,Angiotensin converting enzyme inhibitor
BRD-K49840922-001-05-1,BRD-K49840922,etofylline-clofibrate,Platelet aggregation inhibitor|Lipase clearing factor inhibitor
BRD-K49865102-001-08-4,BRD-K49865102,PD-0325901,MEK inhibitor|MAP kinase inhibitor|Protein kinase inhibitor
BRD-K50031829-001-01-6,BRD-K50031829,pf-04447943,phosphodiesterase inhibitor
BRD-K50133271-001-18-7,BRD-K50133271,tolfenamic-acid,Cyclooxygenase inhibitor|Prostanoid receptor antagonist|Leukotriene synthesis inhibitor|Prostanoid receptor inhibitor
BRD-K50163129-001-01-4,BRD-K50163129,acrivastine,Histamine receptor antagonist
BRD-K50168500-001-07-9,BRD-K50168500,canertinib,EGFR inhibitor
BRD-K50398167-236-22-7,BRD-K50398167,meclofenamic-acid,Cyclooxygenase inhibitor|Prostanoid receptor antagonist
BRD-K50422030-001-05-3,BRD-K50422030,clomethiazole,GABA receptor antagonist|GABA receptor modulator
BRD-K50498985-001-03-3,BRD-K50498985,taladegib,Smoothened receptor antagonist
BRD-K50564936-001-01-6,BRD-K50564936,e-2012,gamma secretase modulator
BRD-K50590187-001-19-9,BRD-K50590187,capsaicin,TRPV agonist
BRD-K50691590-001-02-2,BRD-K50691590,bortezomib,NFkB pathway inhibitor|Proteasome inhibitor
BRD-K50859149-001-19-5,BRD-K50859149,sulfafurazole,Bacterial antifolate
BRD-K50938287-036-13-8,BRD-K50938287,sumatriptan,Serotonin receptor agonist
BRD-K51087630-001-01-6,BRD-K51087630,tirasemtiv,Troponin activator
BRD-K51143828-003-03-1,BRD-K51143828,lurasidone,Dopamine receptor antagonist|Serotonin receptor antagonist
BRD-K51263939-001-08-6,BRD-K51263939,sarcosine,GlyT-1 inhibitor
BRD-K51313569-003-03-3,BRD-K51313569,palbociclib,CDK inhibitor
BRD-K51324732-001-01-0,BRD-K51324732,meglitinide,Potassium channel blocker
BRD-K51544265-001-04-2,BRD-K51544265,cabozantinib,RET tyrosine kinase inhibitor|VEGFR inhibitor
BRD-K51662849-001-05-4,BRD-K51662849,ilomastat,Matrix metalloprotease inhibitor
BRD-K51677086-001-12-0,BRD-K51677086,erythromycin,NFkB pathway inhibitor
BRD-K51747290-001-13-1,BRD-K51747290,hydroxyurea,Ribonucleoside reductase inhibitor
BRD-K51967704-001-03-6,BRD-K51967704,BIIB021,HSP inhibitor
BRD-K52233191-001-02-4,BRD-K52233191,r547,CDK inhibitor
BRD-K52313696-001-12-3,BRD-K52313696,tacedinaline,HDAC inhibitor
BRD-K52618540-001-09-9,BRD-K52618540,inositol,Insulin sensitizer
BRD-K52662033-003-21-2,BRD-K52662033,lidocaine,Histamine receptor agonist
BRD-K52751261-001-06-1,BRD-K52751261,TAK-715,P38 MAPK inhibitor
BRD-K52818472-001-02-2,BRD-K52818472,ivacaftor,CFTR channel potentiator
BRD-K53061490-003-13-9,BRD-K53061490,ozagrel,Thromboxane synthase inhibitor
BRD-K53097745-001-01-5,BRD-K53097745,pterostilbene,Cyclooxygenase inhibitor|PPAR receptor agonist
BRD-K53318339-001-24-9,BRD-K53318339,vinpocetine,Phosphodiesterase inhibitor|Sodium channel blocker
BRD-K53414658-001-08-2,BRD-K53414658,tivozanib,VEGFR inhibitor
BRD-K53417444-003-03-1,BRD-K53417444,ots167,Maternal embryonic leucine zipper kinase inhibitor
BRD-K53508936-001-01-0,BRD-K53508936,cts-1027,metalloproteinase inhibitor
BRD-K53517854-051-01-4,BRD-K53517854,fluvoxamine,Selective serotonin reuptake inhibitor (SSRI)
BRD-K53814070-310-01-3,BRD-K53814070,ripasudil,Rho associated kinase inhibitor
BRD-K53857191-001-22-7,BRD-K53857191,risperidone,Dopamine receptor antagonist|Serotonin receptor antagonist
BRD-K53963539-004-02-0,BRD-K53963539,vortioxetine,Serotonin receptor agonist|Serotonin receptor antagonist
BRD-K53979406-003-02-8,BRD-K53979406,ALX-5407,Glycine transporter inhibitor
BRD-K54006094-051-01-7,BRD-K54006094,formoterol,Adrenergic receptor agonist
BRD-K54028654-001-02-6,BRD-K54028654,trehalose,Pharmacological chaperone
BRD-K54256913-001-08-7,BRD-K54256913,MK-1775,WEE1 kinase inhibitor
BRD-K54416256-001-19-9,BRD-K54416256,methimazole,Antithyroid agent
BRD-K54770957-001-04-3,BRD-K54770957,etoricoxib,Cyclooxygenase inhibitor
BRD-K54847683-001-03-2,BRD-K54847683,equol,Estrogen receptor agonist
BRD-K54936858-001-01-6,BRD-K54936858,dmp-777,elastase inhibitor
BRD-K55013654-003-02-3,BRD-K55013654,lorcaserin,Serotonin receptor agonist
BRD-K55026842-001-01-4,BRD-K55026842,azacitidine,DNA methyltransferase inhibitor
BRD-K55127134-300-11-2,BRD-K55127134,fluphenazine,Dopamine receptor antagonist
BRD-K55191674-237-18-3,BRD-K55191674,benzylpenicillin,Penicillin binding protein inhibitor
BRD-K55512740-001-01-6,BRD-K55512740,mk-8033,c-Met inhibitor
BRD-K55748775-001-02-2,BRD-K55748775,SCH-28080,ATPase inhibitor
BRD-K55781385-001-01-7,BRD-K55781385,bms-927711,calcitonin antagonist
BRD-K55847762-304-01-7,BRD-K55847762,lobenzarit,Immunosuppressant
BRD-K55930204-236-24-3,BRD-K55930204,phenytoin,Hydantoin antiepileptic
BRD-K55966568-001-05-4,BRD-K55966568,orantinib,PDGFR tyrosine kinase receptor inhibitor|FGFR inhibitor|VEGFR inhibitor
BRD-K56032964-001-02-1,BRD-K56032964,ap26113,ALK tyrosine kinase receptor inhibitor
BRD-K56104152-008-04-1,BRD-K56104152,oxiconazole,Bacterial cell wall synthesis inhibitor
BRD-K56195681-001-01-0,BRD-K56195681,losmapimod,P38 MAPK inhibitor
BRD-K56291712-001-01-0,BRD-K56291712,voxtalisib,MTOR inhibitor|PI3K inhibitor
BRD-K56301217-001-07-4,BRD-K56301217,ABT-737,BCL inhibitor
BRD-K56334280-001-05-1,BRD-K56334280,amonafide,Topoisomerase inhibitor
BRD-K56343971-001-10-6,BRD-K56343971,vemurafenib,RAF inhibitor
BRD-K56405753-001-02-4,BRD-K56405753,mk-2461,FGFR inhibitor|VEGFR inhibitor
BRD-K56558538-003-11-9,BRD-K56558538,ambroxol,Sodium channel blocker
BRD-K56614220-001-19-0,BRD-K56614220,clofazimine,GK0582 inhibitor
BRD-K56751279-300-01-4,BRD-K56751279,Y-39983,Rho associated kinase inhibitor
BRD-K56800335-015-04-9,BRD-K56800335,guanabenz,Adrenergic receptor agonist
