moa,moa_cpds_dose_1,moa_cpds_dose_2,moa_cpds_dose_3,moa_cpds_dose_4,moa_cpds_dose_5,moa_cpds_dose_6,moa_size
opioid receptor agonist|opioid receptor antagonist,butorphanol-(+)-tartrate;nalbuphine,butorphanol-(+)-tartrate;nalbuphine,butorphanol-(+)-tartrate;nalbuphine,butorphanol-(+)-tartrate;nalbuphine,butorphanol-(+)-tartrate;nalbuphine,butorphanol-(+)-tartrate;nalbuphine,2
opioid receptor antagonist,chloroxine;jtc-801;methylnaltrexone;alvimopan,chloroxine;jtc-801;methylnaltrexone;alvimopan,chloroxine;jtc-801;methylnaltrexone;alvimopan,chloroxine;jtc-801;methylnaltrexone;alvimopan,chloroxine;jtc-801;methylnaltrexone;alvimopan,chloroxine;jtc-801;methylnaltrexone;alvimopan,4
orexin receptor antagonist,almorexant;suvorexant,almorexant;suvorexant,almorexant;suvorexant,almorexant;suvorexant,almorexant;suvorexant,almorexant;suvorexant,2
oxidative stress inducer,aminolevulinic-acid;elesclomol,aminolevulinic-acid;elesclomol,aminolevulinic-acid;elesclomol,aminolevulinic-acid;elesclomol,aminolevulinic-acid;elesclomol,aminolevulinic-acid;elesclomol,2
p38 mapk inhibitor,talmapimod;ly2228820;losmapimod;tak-715;doramapimod;ph-797804,talmapimod;ly2228820;losmapimod;tak-715;doramapimod;ph-797804,talmapimod;ly2228820;losmapimod;tak-715;doramapimod;ph-797804,talmapimod;ly2228820;losmapimod;tak-715;doramapimod;ph-797804,talmapimod;ly2228820;losmapimod;tak-715;doramapimod;ph-797804,talmapimod;ly2228820;losmapimod;tak-715;doramapimod;ph-797804,6
parp inhibitor,3-amino-benzamide;iniparib;veliparib;olaparib;talazoparib,3-amino-benzamide;iniparib;veliparib;olaparib;talazoparib,3-amino-benzamide;iniparib;veliparib;olaparib;talazoparib,3-amino-benzamide;iniparib;veliparib;olaparib;talazoparib,3-amino-benzamide;iniparib;veliparib;olaparib;talazoparib,3-amino-benzamide;iniparib;veliparib;olaparib;talazoparib,5
pdgfr tyrosine kinase receptor inhibitor|vegfr inhibitor,su014813;linifanib,su014813;linifanib,su014813;linifanib,su014813;linifanib,su014813;linifanib,su014813;linifanib,2
phosphodiesterase inhibitor,papaverine;zaprinast;arofylline;pf-02545920;rolipram;theobromine;ym-976;vardenafil;isbufylline;roflumilast;zardaverine;gsk256066;cilomilast;pentoxifylline;dipyridamole;cilostazol;milrinone;siguazodan;anagrelide;etazolate;emd-53998;avanafil;piclamilast;pf-04447943;amrinone;mirodenafil;resorcinol;irsogladine;sildenafil;oglemilast;apremilast;tadalafil,papaverine;zaprinast;arofylline;pf-02545920;rolipram;theobromine;ym-976;vardenafil;isbufylline;roflumilast;zardaverine;gsk256066;cilomilast;pentoxifylline;dipyridamole;cilostazol;milrinone;siguazodan;etazolate;emd-53998;avanafil;anagrelide;piclamilast;pf-04447943;amrinone;mirodenafil;resorcinol;sildenafil;oglemilast;apremilast;tadalafil,papaverine;zaprinast;arofylline;pf-02545920;rolipram;theobromine;ym-976;vardenafil;isbufylline;roflumilast;zardaverine;gsk256066;cilomilast;pentoxifylline;dipyridamole;cilostazol;milrinone;siguazodan;anagrelide;etazolate;emd-53998;avanafil;piclamilast;pf-04447943;amrinone;mirodenafil;resorcinol;irsogladine;sildenafil;oglemilast;apremilast;tadalafil,papaverine;zaprinast;arofylline;pf-02545920;rolipram;theobromine;ym-976;vardenafil;isbufylline;roflumilast;zardaverine;gsk256066;cilomilast;pentoxifylline;dipyridamole;cilostazol;milrinone;siguazodan;anagrelide;etazolate;emd-53998;avanafil;pf-04447943;piclamilast;amrinone;mirodenafil;resorcinol;irsogladine;sildenafil;oglemilast;apremilast;tadalafil,papaverine;zaprinast;arofylline;pf-02545920;rolipram;theobromine;ym-976;vardenafil;isbufylline;roflumilast;zardaverine;gsk256066;cilomilast;pentoxifylline;dipyridamole;cilostazol;milrinone;siguazodan;anagrelide;etazolate;emd-53998;avanafil;piclamilast;pf-04447943;amrinone;mirodenafil;resorcinol;irsogladine;sildenafil;oglemilast;apremilast;tadalafil,papaverine;zaprinast;arofylline;pf-02545920;rolipram;theobromine;ym-976;vardenafil;isbufylline;roflumilast;zardaverine;gsk256066;cilomilast;pentoxifylline;dipyridamole;cilostazol;milrinone;siguazodan;anagrelide;etazolate;emd-53998;avanafil;piclamilast;pf-04447943;amrinone;mirodenafil;resorcinol;irsogladine;sildenafil;oglemilast;apremilast;tadalafil,32
pi3k inhibitor,idelalisib;as-605240;tg100-115;taselisib;gsk2636771;pilaralisib;xl-147,idelalisib;as-605240;tg100-115;taselisib;gsk2636771;pilaralisib;xl-147,idelalisib;as-605240;tg100-115;taselisib;gsk2636771;pilaralisib;xl-147,idelalisib;as-605240;tg100-115;taselisib;gsk2636771;pilaralisib;xl-147,idelalisib;as-605240;tg100-115;taselisib;gsk2636771;pilaralisib;xl-147,idelalisib;as-605240;tg100-115;taselisib;gsk2636771;pilaralisib;xl-147,7
pim kinase inhibitor,azd1208;sgi-1776,azd1208;sgi-1776,azd1208;sgi-1776,azd1208;sgi-1776,azd1208;sgi-1776,azd1208;sgi-1776,2
pkc activator,phorbol-myristate-acetate;ingenol-mebutate,phorbol-myristate-acetate;ingenol-mebutate,phorbol-myristate-acetate;ingenol-mebutate,phorbol-myristate-acetate;ingenol-mebutate,phorbol-myristate-acetate;ingenol-mebutate,phorbol-myristate-acetate;ingenol-mebutate,2
pkc inhibitor,sotrastaurin;ethylenediaminetetraacetic-acid;enzastaurin;dequalinium;safingol,sotrastaurin;ethylenediaminetetraacetic-acid;enzastaurin;dequalinium;safingol,sotrastaurin;ethylenediaminetetraacetic-acid;enzastaurin;dequalinium;safingol,sotrastaurin;ethylenediaminetetraacetic-acid;enzastaurin;dequalinium;safingol,sotrastaurin;ethylenediaminetetraacetic-acid;enzastaurin;dequalinium,sotrastaurin;ethylenediaminetetraacetic-acid;enzastaurin;dequalinium,5
platelet activating factor receptor antagonist,pca-4248;apafant,pca-4248;apafant,pca-4248;apafant,pca-4248;apafant,pca-4248;apafant,pca-4248;apafant,2
plk inhibitor,bi-2536;nms-1286937;volasertib;gsk-461364,bi-2536;nms-1286937;volasertib;gsk-461364,bi-2536;nms-1286937;volasertib;gsk-461364,bi-2536;nms-1286937;volasertib;gsk-461364,bi-2536;nms-1286937;volasertib;gsk-461364,bi-2536;nms-1286937;volasertib;gsk-461364,4
potassium channel activator,y-27152;y-26763;diazoxide;levcromakalim;retigabine;hexachlorophene,y-27152;y-26763;diazoxide;levcromakalim;retigabine;hexachlorophene,y-27152;y-26763;diazoxide;levcromakalim;retigabine;hexachlorophene,y-27152;y-26763;diazoxide;levcromakalim;retigabine;hexachlorophene,y-27152;y-26763;diazoxide;levcromakalim;retigabine;hexachlorophene,y-27152;y-26763;diazoxide;levcromakalim;retigabine;hexachlorophene,6
potassium channel blocker,penitrem-a;amiodarone;linopirdine;meglitinide;doxapram,penitrem-a;amiodarone;linopirdine;meglitinide;doxapram;ibutilide,penitrem-a;amiodarone;linopirdine;meglitinide;doxapram;ibutilide,penitrem-a;amiodarone;linopirdine;meglitinide;doxapram;ibutilide,amiodarone;linopirdine;meglitinide;doxapram;ibutilide,amiodarone;linopirdine;meglitinide;doxapram;ibutilide,6
ppar receptor agonist,clofibrate;bezafibrate;clofibric-acid;ciglitazone,clofibrate;bezafibrate;clofibric-acid;ciglitazone,clofibrate;bezafibrate;clofibric-acid;ciglitazone,clofibrate;bezafibrate;clofibric-acid;ciglitazone,clofibrate;bezafibrate;clofibric-acid;ciglitazone,clofibrate;bezafibrate;clofibric-acid;ciglitazone,4
ppar receptor agonist|insulin sensitizer,troglitazone;pioglitazone;rosiglitazone,troglitazone;pioglitazone;rosiglitazone,troglitazone;pioglitazone;rosiglitazone,troglitazone;pioglitazone;rosiglitazone,troglitazone;pioglitazone;rosiglitazone,troglitazone;pioglitazone;rosiglitazone,3
progesterone receptor agonist,17-hydroxyprogesterone-caproate;norgestrel;norethisterone;medroxyprogesterone-acetate;dienogest;progesterone;tanaproget,17-hydroxyprogesterone-caproate;norgestrel;norethisterone;medroxyprogesterone-acetate;dienogest;progesterone;tanaproget,17-hydroxyprogesterone-caproate;norgestrel;norethisterone;medroxyprogesterone-acetate;dienogest;progesterone;tanaproget,17-hydroxyprogesterone-caproate;norgestrel;norethisterone;medroxyprogesterone-acetate;dienogest;progesterone;tanaproget,17-hydroxyprogesterone-caproate;norgestrel;norethisterone;medroxyprogesterone-acetate;dienogest;progesterone;tanaproget,17-hydroxyprogesterone-caproate;norgestrel;norethisterone;medroxyprogesterone-acetate;dienogest;progesterone;tanaproget,7
progesterone receptor antagonist,ulipristal;gestrinone,ulipristal;gestrinone,ulipristal;gestrinone,ulipristal;gestrinone,ulipristal;gestrinone,ulipristal;gestrinone,2
progestogen hormone,norethindrone;altrenogest,norethindrone;altrenogest,norethindrone;altrenogest,norethindrone;altrenogest,norethindrone;altrenogest,norethindrone;altrenogest,2
prostanoid receptor agonist,"travoprost;latanoprost;bimatoprost;16,16-dimethylprostaglandin-e2","travoprost;latanoprost;bimatoprost;16,16-dimethylprostaglandin-e2","travoprost;latanoprost;bimatoprost;16,16-dimethylprostaglandin-e2","travoprost;latanoprost;bimatoprost;16,16-dimethylprostaglandin-e2",travoprost;latanoprost;bimatoprost,travoprost;latanoprost;bimatoprost,4
prostanoid receptor antagonist,benzydamine;diflunisal;ramatroban;laropiprant,benzydamine;diflunisal;ramatroban;laropiprant,benzydamine;diflunisal;ramatroban;laropiprant,benzydamine;diflunisal;ramatroban;laropiprant,benzydamine;diflunisal;ramatroban;laropiprant,benzydamine;diflunisal;ramatroban;laropiprant,4
protein synthesis inhibitor,retapamulin;rifabutin;clofoctol;clindamycin;bruceantin;homoharringtonine,retapamulin;rifabutin;clofoctol;clindamycin;bruceantin;homoharringtonine,retapamulin;rifabutin;clofoctol;clindamycin;bruceantin;homoharringtonine,retapamulin;rifabutin;clofoctol;clindamycin;bruceantin;homoharringtonine,retapamulin;rifabutin;clofoctol;clindamycin;bruceantin;homoharringtonine,retapamulin;rifabutin;clofoctol;clindamycin;bruceantin;homoharringtonine,6
protein synthesis stimulant,nicotinamide;dehydroepiandrosterone;malotilate,nicotinamide;dehydroepiandrosterone;malotilate,nicotinamide;dehydroepiandrosterone;malotilate,nicotinamide;dehydroepiandrosterone;malotilate,nicotinamide;dehydroepiandrosterone;malotilate,nicotinamide;dehydroepiandrosterone;malotilate,3
purine antagonist,thioguanine;tioguanine,thioguanine;tioguanine,thioguanine;tioguanine,thioguanine;tioguanine,thioguanine;tioguanine,thioguanine;tioguanine,2
purinergic receptor antagonist,ticlopidine;nf-449;ticagrelor,ticlopidine;nf-449;ticagrelor,ticlopidine;nf-449;ticagrelor,ticlopidine;nf-449;ticagrelor,ticlopidine;nf-449;ticagrelor,ticlopidine;nf-449;ticagrelor,3
raf inhibitor,dabrafenib;az-628;mln2480;lgx818;vemurafenib,dabrafenib;az-628;mln2480;lgx818;vemurafenib,dabrafenib;az-628;mln2480;lgx818;vemurafenib,dabrafenib;az-628;mln2480;lgx818;vemurafenib,dabrafenib;az-628;mln2480;lgx818;vemurafenib,dabrafenib;az-628;mln2480;lgx818;vemurafenib,5
retinoid receptor agonist,tamibarotene;adapalene;adarotene;ttnpb;palovarotene;tazarotene;bexarotene,tamibarotene;adapalene;adarotene;ttnpb;palovarotene;tazarotene;bexarotene,tamibarotene;adapalene;adarotene;ttnpb;palovarotene;tazarotene;bexarotene,tamibarotene;adapalene;adarotene;ttnpb;palovarotene;tazarotene;bexarotene,tamibarotene;adapalene;adarotene;ttnpb;palovarotene;tazarotene;bexarotene,tamibarotene;adapalene;adarotene;ttnpb;palovarotene;tazarotene;bexarotene,7
reverse transcriptase inhibitor,nevirapine;zidovudine;abacavir,nevirapine;zidovudine;abacavir,nevirapine;zidovudine;abacavir,nevirapine;zidovudine;abacavir,nevirapine;zidovudine;abacavir,nevirapine;zidovudine;abacavir,3
rho associated kinase inhibitor,y-39983;ripasudil;y-27632;rho-kinase-inhibitor-iii[rockout];fasudil;kd025,y-39983;ripasudil;y-27632;rho-kinase-inhibitor-iii[rockout];fasudil;kd025,y-39983;ripasudil;y-27632;rho-kinase-inhibitor-iii[rockout];fasudil;kd025,y-39983;ripasudil;y-27632;rho-kinase-inhibitor-iii[rockout];fasudil;kd025,y-39983;ripasudil;y-27632;rho-kinase-inhibitor-iii[rockout];fasudil;kd025,y-39983;ripasudil;y-27632;rho-kinase-inhibitor-iii[rockout];fasudil;kd025,6
ribonucleoside reductase inhibitor,clofarabine;hydroxyurea,clofarabine;hydroxyurea,clofarabine;hydroxyurea,clofarabine;hydroxyurea,clofarabine;hydroxyurea,clofarabine;hydroxyurea,2
ribonucleotide reductase inhibitor,cytarabine;gemcitabine,cytarabine;gemcitabine,cytarabine;gemcitabine,cytarabine;gemcitabine,cytarabine;gemcitabine,cytarabine;gemcitabine,2
rna polymerase inhibitor,cx-5461;favipiravir;sofosbuvir;psi-6130;fidaxomicin;balapiravir;triptolide;nesbuvir,cx-5461;favipiravir;sofosbuvir;psi-6130;fidaxomicin;balapiravir;triptolide;nesbuvir,cx-5461;favipiravir;sofosbuvir;psi-6130;fidaxomicin;balapiravir;triptolide;nesbuvir,cx-5461;favipiravir;sofosbuvir;psi-6130;fidaxomicin;balapiravir;triptolide;nesbuvir,cx-5461;favipiravir;sofosbuvir;psi-6130;fidaxomicin;balapiravir;triptolide;nesbuvir,cx-5461;favipiravir;sofosbuvir;psi-6130;fidaxomicin;balapiravir;triptolide;nesbuvir,8
rna synthesis inhibitor,aphidicolin;rifaximin,aphidicolin;rifaximin,aphidicolin;rifaximin,aphidicolin;rifaximin,aphidicolin;rifaximin,aphidicolin;rifaximin,2
selective serotonin reuptake inhibitor (ssri),fluoxetine;paroxetine;fluvoxamine;escitalopram,fluoxetine;paroxetine;fluvoxamine;escitalopram,fluoxetine;paroxetine;fluvoxamine;escitalopram,fluoxetine;paroxetine;fluvoxamine;escitalopram,fluoxetine;paroxetine;fluvoxamine;escitalopram,fluoxetine;paroxetine;fluvoxamine;escitalopram,4
serotonin receptor agonist,rotundine;sr-57227a;donitriptan;cisapride;dexfenfluramine;lorcaserin;sumatriptan;dihydroergotamine;rizatriptan;mcpp;xaliproden;buspirone,rotundine;sr-57227a;donitriptan;cisapride;dexfenfluramine;lorcaserin;sumatriptan;dihydroergotamine;rizatriptan;mcpp;xaliproden;buspirone,rotundine;sr-57227a;donitriptan;cisapride;dexfenfluramine;lorcaserin;sumatriptan;dihydroergotamine;rizatriptan;mcpp;xaliproden;buspirone,rotundine;sr-57227a;donitriptan;cisapride;dexfenfluramine;lorcaserin;sumatriptan;dihydroergotamine;rizatriptan;mcpp;xaliproden;buspirone,rotundine;sr-57227a;donitriptan;cisapride;dexfenfluramine;lorcaserin;sumatriptan;dihydroergotamine;rizatriptan;mcpp;xaliproden;buspirone,rotundine;sr-57227a;donitriptan;cisapride;dexfenfluramine;lorcaserin;sumatriptan;dihydroergotamine;rizatriptan;mcpp;xaliproden;buspirone,12
serotonin receptor agonist|serotonin receptor antagonist,vortioxetine;aripiprazole;adatanserin,vortioxetine;aripiprazole;adatanserin,vortioxetine;aripiprazole;adatanserin,vortioxetine;aripiprazole;adatanserin,vortioxetine;aripiprazole;adatanserin,vortioxetine;aripiprazole;adatanserin,3
serotonin receptor antagonist,prx-08066;mianserin;ondansetron;palonosetron;granisetron;alaproclate;altanserin;mdl-73005ef;lerisetron;ketanserin;sb-271046;sertraline;idalopirdine;rs-127445,prx-08066;mianserin;ondansetron;palonosetron;granisetron;alaproclate;altanserin;mdl-73005ef;lerisetron;ketanserin;sb-271046;sertraline;idalopirdine;rs-127445,prx-08066;mianserin;ondansetron;palonosetron;granisetron;alaproclate;altanserin;mdl-73005ef;lerisetron;ketanserin;sb-271046;sertraline;idalopirdine;rs-127445,prx-08066;mianserin;ondansetron;palonosetron;granisetron;alaproclate;altanserin;mdl-73005ef;lerisetron;ketanserin;sb-271046;sertraline;idalopirdine;rs-127445,prx-08066;mianserin;ondansetron;palonosetron;granisetron;alaproclate;altanserin;mdl-73005ef;lerisetron;ketanserin;sb-271046;sertraline;idalopirdine;rs-127445,prx-08066;mianserin;ondansetron;palonosetron;granisetron;alaproclate;altanserin;mdl-73005ef;lerisetron;ketanserin;sb-271046;sertraline;idalopirdine;rs-127445,14
serotonin reuptake inhibitor,milnacipran;minaprine;vilazodone;citalopram;desvenlafaxine,milnacipran;minaprine;vilazodone;citalopram;desvenlafaxine,milnacipran;minaprine;vilazodone;citalopram;desvenlafaxine,milnacipran;minaprine;vilazodone;citalopram;desvenlafaxine,milnacipran;minaprine;vilazodone;citalopram;desvenlafaxine,milnacipran;minaprine;vilazodone;citalopram;desvenlafaxine,5
sigma receptor antagonist,api-001;bmy-14802;rimcazole,api-001;bmy-14802;rimcazole,api-001;bmy-14802;rimcazole,api-001;bmy-14802;rimcazole,api-001;bmy-14802;rimcazole,api-001;bmy-14802;rimcazole,3
sodium channel blocker,disopyramide;flecainide;bupivacaine;ambroxol;quinidine;co-102862;procainamide;triamterene;amiloride;ranolazine;lupanine,disopyramide;flecainide;bupivacaine;ambroxol;quinidine;co-102862;procainamide;triamterene;amiloride;ranolazine;lupanine,disopyramide;flecainide;bupivacaine;ambroxol;quinidine;co-102862;procainamide;triamterene;amiloride;ranolazine;lupanine,disopyramide;flecainide;bupivacaine;ambroxol;quinidine;co-102862;procainamide;triamterene;amiloride;ranolazine;lupanine,disopyramide;flecainide;bupivacaine;ambroxol;quinidine;co-102862;procainamide;triamterene;amiloride;ranolazine;lupanine,disopyramide;flecainide;bupivacaine;ambroxol;quinidine;co-102862;procainamide;triamterene;amiloride;ranolazine;lupanine,11
sodium/glucose cotransporter inhibitor,dapagliflozin;canagliflozin,dapagliflozin;canagliflozin,dapagliflozin;canagliflozin,dapagliflozin;canagliflozin,dapagliflozin;canagliflozin,dapagliflozin;canagliflozin,2
sodium/potassium/chloride transporter inhibitor,etacrynic-acid;bendroflumethiazide,etacrynic-acid;bendroflumethiazide,etacrynic-acid;bendroflumethiazide,etacrynic-acid;bendroflumethiazide,etacrynic-acid;bendroflumethiazide,etacrynic-acid;bendroflumethiazide,2
sterol demethylase inhibitor,tioconazole;fluconazole;flutrimazole;ketoconazole;luliconazole;bifonazole;sertaconazole,tioconazole;fluconazole;flutrimazole;ketoconazole;luliconazole;bifonazole;sertaconazole,tioconazole;fluconazole;flutrimazole;ketoconazole;luliconazole;bifonazole;sertaconazole,tioconazole;fluconazole;flutrimazole;ketoconazole;luliconazole;bifonazole;sertaconazole,tioconazole;fluconazole;flutrimazole;ketoconazole;luliconazole;bifonazole;sertaconazole,tioconazole;fluconazole;flutrimazole;ketoconazole;luliconazole;bifonazole;sertaconazole,7
sulfonylurea,glipizide;gliquidone,glipizide;gliquidone,glipizide;gliquidone,glipizide;gliquidone,glipizide;gliquidone,glipizide;gliquidone,2
t-type calcium channel blocker,mibefradil;penfluridol;pinaverium,mibefradil;penfluridol;pinaverium,mibefradil;penfluridol;pinaverium,mibefradil;penfluridol;pinaverium,mibefradil;penfluridol;pinaverium,mibefradil;penfluridol;pinaverium,3
tachykinin antagonist,aprepitant;sdz-nkt-343;talnetant;fk-888;av-608;netupitant,aprepitant;sdz-nkt-343;talnetant;fk-888;av-608;netupitant,aprepitant;sdz-nkt-343;talnetant;fk-888;av-608;netupitant,aprepitant;sdz-nkt-343;talnetant;fk-888;av-608;netupitant,aprepitant;sdz-nkt-343;talnetant;fk-888;av-608;netupitant,aprepitant;sdz-nkt-343;talnetant;fk-888;av-608;netupitant,6
tgf beta receptor inhibitor,d-4476;ly2157299;pirfenidone,d-4476;ly2157299;pirfenidone,d-4476;pirfenidone,d-4476;ly2157299;pirfenidone,d-4476;ly2157299;pirfenidone,d-4476;ly2157299;pirfenidone,3
thrombin inhibitor,argatroban;ammonium-glycyrrhizinate,argatroban;ammonium-glycyrrhizinate,argatroban;ammonium-glycyrrhizinate,argatroban;ammonium-glycyrrhizinate,argatroban;ammonium-glycyrrhizinate,argatroban;ammonium-glycyrrhizinate,2
thromboxane receptor antagonist,"ici-185,282;ici-192605","ici-185,282;ici-192605","ici-185,282;ici-192605","ici-185,282;ici-192605","ici-185,282;ici-192605","ici-185,282;ici-192605",2
thromboxane synthase inhibitor,ozagrel;dazoxiben,ozagrel;dazoxiben,ozagrel;dazoxiben,ozagrel;dazoxiben,ozagrel;dazoxiben,ozagrel;dazoxiben,2
thymidylate synthase inhibitor,doxifluridine;ftorafur,doxifluridine;ftorafur,doxifluridine;ftorafur,doxifluridine;ftorafur,doxifluridine;ftorafur,doxifluridine;ftorafur,2
thyrotropin releasing hormone receptor agonist,protirelin;taltirelin,protirelin;taltirelin,protirelin;taltirelin,protirelin;taltirelin,protirelin;taltirelin,protirelin;taltirelin,2
topoisomerase inhibitor,licochalcone-a;voreloxin;irinotecan;tas-103;cinoxacin;etoposide;camptothecin;amonafide;epirubicin;pazufloxacin;merbarone;amsacrine;enoxacin;genz-644282;doxorubicin,licochalcone-a;voreloxin;irinotecan;tas-103;cinoxacin;etoposide;camptothecin;amonafide;epirubicin;pazufloxacin;merbarone;amsacrine;enoxacin;genz-644282;doxorubicin,licochalcone-a;voreloxin;irinotecan;tas-103;cinoxacin;etoposide;camptothecin;amonafide;epirubicin;pazufloxacin;merbarone;amsacrine;enoxacin;genz-644282;doxorubicin,licochalcone-a;voreloxin;irinotecan;tas-103;cinoxacin;etoposide;camptothecin;amonafide;epirubicin;pazufloxacin;merbarone;amsacrine;enoxacin;genz-644282;doxorubicin,licochalcone-a;voreloxin;irinotecan;tas-103;cinoxacin;etoposide;camptothecin;amonafide;epirubicin;pazufloxacin;merbarone;amsacrine;enoxacin;genz-644282;doxorubicin,licochalcone-a;voreloxin;irinotecan;tas-103;cinoxacin;etoposide;camptothecin;amonafide;epirubicin;pazufloxacin;merbarone;amsacrine;enoxacin;genz-644282;doxorubicin,15
tricyclic antidepressant,protriptyline;nortriptyline,protriptyline;nortriptyline,protriptyline;nortriptyline,protriptyline;nortriptyline,protriptyline;nortriptyline,protriptyline;nortriptyline,2
trpv antagonist,amg-517;sb-705498,amg-517;sb-705498,amg-517;sb-705498,amg-517;sb-705498,amg-517;sb-705498,amg-517;sb-705498,2
tubulin inhibitor,dimesna;cyt-997;paclitaxel;griseofulvin;docetaxel;mebendazole;indibulin;albendazole,dimesna;cyt-997;paclitaxel;griseofulvin;docetaxel;mebendazole;indibulin;albendazole,dimesna;cyt-997;paclitaxel;griseofulvin;docetaxel;mebendazole;indibulin;albendazole,dimesna;cyt-997;paclitaxel;griseofulvin;docetaxel;mebendazole;indibulin;albendazole,dimesna;cyt-997;paclitaxel;griseofulvin;docetaxel;mebendazole;indibulin;albendazole,dimesna;cyt-997;paclitaxel;griseofulvin;docetaxel;mebendazole;indibulin;albendazole,8
tumor necrosis factor release inhibitor,cpi-1189;glycitein,cpi-1189;glycitein,cpi-1189;glycitein,cpi-1189;glycitein,cpi-1189;glycitein,cpi-1189;glycitein,2
tyrosinase inhibitor,azelaic-acid;rucinol,azelaic-acid;rucinol,azelaic-acid;rucinol,azelaic-acid;rucinol,azelaic-acid;rucinol,azelaic-acid;rucinol,2
tyrosine kinase inhibitor,hypericin;amg-208;tivantinib;jnj-38877605,hypericin;amg-208;tivantinib;jnj-38877605,hypericin;amg-208;tivantinib;jnj-38877605,hypericin;amg-208;tivantinib;jnj-38877605,hypericin;amg-208;tivantinib;jnj-38877605,hypericin;amg-208;tivantinib;jnj-38877605,4
vasopressin receptor antagonist,mozavaptan;conivaptan;tolvaptan;relcovaptan,mozavaptan;conivaptan;tolvaptan;relcovaptan,mozavaptan;conivaptan;tolvaptan;relcovaptan,mozavaptan;conivaptan;tolvaptan;relcovaptan,mozavaptan;conivaptan;tolvaptan;relcovaptan,mozavaptan;conivaptan;tolvaptan;relcovaptan,4
vegfr inhibitor,foretinib;tivozanib;semaxanib;golvatinib,foretinib;tivozanib;semaxanib;golvatinib,foretinib;tivozanib;semaxanib;golvatinib,foretinib;tivozanib;semaxanib;golvatinib,foretinib;tivozanib;semaxanib;golvatinib,foretinib;tivozanib;semaxanib;golvatinib,4
vesicular monoamine transporter inhibitor,tetrabenazine;reserpine,tetrabenazine;reserpine,tetrabenazine;reserpine,tetrabenazine;reserpine,tetrabenazine;reserpine,tetrabenazine;reserpine,2
vitamin d receptor agonist,calcitriol;seocalcitol;maxacalcitol;ercalcitriol;tacalcitol,calcitriol;seocalcitol;paricalcitol;maxacalcitol;ercalcitriol;tacalcitol,calcitriol;seocalcitol;paricalcitol;maxacalcitol;ercalcitriol;tacalcitol,calcitriol;seocalcitol;paricalcitol;maxacalcitol;ercalcitriol;tacalcitol,calcitriol;seocalcitol;paricalcitol;maxacalcitol;ercalcitriol;tacalcitol,calcitriol;seocalcitol;paricalcitol;maxacalcitol;ercalcitriol;tacalcitol,6
xanthine oxidase inhibitor,oxypurinol;febuxostat;allopurinol;topiroxostat,oxypurinol;febuxostat;allopurinol;topiroxostat,oxypurinol;febuxostat;allopurinol;topiroxostat,oxypurinol;febuxostat;allopurinol;topiroxostat,oxypurinol;febuxostat;allopurinol;topiroxostat,oxypurinol;febuxostat;allopurinol,4
xiap inhibitor,lcl-161;birinapant;gdc-0152,lcl-161;birinapant;gdc-0152,lcl-161;birinapant;gdc-0152,lcl-161;birinapant;gdc-0152,lcl-161;birinapant;gdc-0152,lcl-161;birinapant;gdc-0152,3
